Expected Category, Predicted Category,Content
COMPLAINT,REQUEST,charging for password reset feature
MISCELLANEOUS,MISCELLANEOUS,perform basic banking activities using dms through sbi?s official twitter handle follow us for more on sbimingle htt?
COMPLAINT,COMPLAINT,most shameless organization in dis world do not care about future of lakhs of students not willing to give the sbiclerk
COMPLAINT,COMPLAINT,a c no y transfer branch cant i go to some other city few days? applied new debit card via net banking
COMPLAINT,REQUEST,can you help solve the issue? regards a very frustrated education loan holder
MISCELLANEOUS,MISCELLANEOUS,retwt?
MISCELLANEOUS,MISCELLANEOUS,with hopeloans you can not only enjoy the benefits of your loan but also bethehope that lights up a million lives ht?
MISCELLANEOUS,MISCELLANEOUS,hope so
COMPLAINT,COMPLAINT,if u want money take it but don t name it as lien amount r fucking amount
COMPLAINT,COMPLAINT,sbm dharwad saptapur branch is the worst bank ever with worst staff still now they take mins to complete a challan
COMPLAINT,COMPLAINT,i feel lucky to know how to use sbi online services but concerned about those who hopefully arrive in bank branches
MISCELLANEOUS,MISCELLANEOUS,perform basic banking activities using dms through sbi?s official twitter handle follow us for more on sbimingle htt?
COMPLAINT,COMPLAINT,dot letter dtd has directed reg a c the pensioncommutedamount p mistobededucted upto
COMPLAINT,COMPLAINT,if no response comes within noon tomorrow will be forced to escalate this needless harassment of customers
COMPLAINT,COMPLAINT,email sent within minutes of your tweet it has been five hours since then just wondering if i will get a response today
MISCELLANEOUS,MISCELLANEOUS,with hopeloans you can not only enjoy the benefits of your loan but also bethehope that lights up a million lives ht?
COMPLAINT,MISCELLANEOUS,got my new sbi cc unable to activate it
MISCELLANEOUS,MISCELLANEOUS,why gained up to in intraday deals
COMPLAINT,COMPLAINT,dictatorship by sbi shame sbiclerk
REQUEST,REQUEST,please carry out surgical strikes on and bring out sbiclerk results we lac aspirants?
REQUEST,REQUEST,plz declare clerk result sbiclerk
COMPLAINT,COMPLAINT,ticket no is and a c no is incident happened on th october wrong pin used but k was deducted
REQUEST,REQUEST,sbiclerk please once question your conscience?what if your son or daughter is waiting for results?
MISCELLANEOUS,MISCELLANEOUS,excl arundhati bhattacharya chairman rosneft deal will help essar group to trim its leverage
REQUEST,REQUEST,congratulations sbi but what about sbi clerk sbiclerk
MISCELLANEOUS,MISCELLANEOUS,sbi flexi pay home loan offers flexible repayment options so that nothing gets in the way of your dreams
MISCELLANEOUS,MISCELLANEOUS,why gained up to in intraday deals
MISCELLANEOUS,MISCELLANEOUS,i email you the details
COMPLAINT,COMPLAINT,it would really be great if you can respond
COMPLAINT,COMPLAINT,got my refund after almost two weeks i strongly recommend you to get some quality customer service staff on board
COMPLAINT,COMPLAINT,i am questioning your process so please justify what i can do at home branch and not others when all your systems are online
COMPLAINT,COMPLAINT,my funds in sbi are inaccessible due to non issuance of atm card and internet banking
COMPLAINT,COMPLAINT,wt s d matter wid ur blocked my atm card widout any prior intimation nw?
COMPLAINT,COMPLAINT,hv an ac at vijaynagar branch code a bad waiting to deposit cash for minutes staff is pathetic and rude
COMPLAINT,COMPLAINT,sbi is one of the worst worst bank in india customer care totally worst services w?
COMPLAINT,COMPLAINT,at branch sbin they are not issuing atm pin asking to come after days
COMPLAINT,COMPLAINT,it s insane that one needs to visit branch just to unblock his debit card? r we living in th century?
COMPLIMENT,COMPLAINT,that s good and all government banks should be strong to develop our indian economy and best customer service
COMPLAINT,COMPLAINT,haha who ll wait for so many days bro
MISCELLANEOUS,MISCELLANEOUS,lessons in leadership from the sbi chairperson arundhati bhattacharya ishainsight
COMPLAINT,COMPLAINT,most of the time atm reply error in this area we have hear only atm approx population
COMPLAINT,COMPLAINT,thankyou for not taking any action against the problem i am facing now m sure thatthis bank is just to annoy its customers
COMPLAINT,COMPLAINT,i have deleted my sbi buddy account trying to activate it again but i am not able to
REQUEST,REQUEST,when will sbi clerk main result please declare
COMPLAINT,COMPLAINT,if this is the way the wallet is being run there will be no takers i am disappointed please refund my amount
COMPLAINT,COMPLAINT,since receipt of my new dc global visa my online shoping trxns being failled declined what to do need ur help
COMPLAINT,COMPLAINT,please give me more details vijaysheoran com or
MISCELLANEOUS,MISCELLANEOUS,sbi?s start up engagement program supports entrepreneurs by investing in it start ups sbistartupengagement
COMPLAINT,COMPLAINT,dear sir my complete number is at complete date this not fix this transaction
COMPLAINT,COMPLAINT,i am trying customer care but after waiting for longtime the call is getting disconnected my
COMPLAINT,COMPLAINT,it s not good last exam result under waiting and declare next exam notification
REQUEST,REQUEST,dear sir pls interfere for sbi clerk result share as soon as possible and declare result date
COMPLAINT,COMPLAINT,well i have already made a complain throgh call days before but i am not able to track the status as the site gets crash
COMPLAINT,COMPLAINT,central kycregistry of india rejects aadhaar based ekyc
COMPLAINT,COMPLAINT,seriously i am fedup with the services this bank is providing do you people find it fun to frustate your customer
COMPLAINT,COMPLAINT,while m entering the branch details the site automatically get crash
COMPLAINT,COMPLAINT,my atm is blocked trying to contact bank in pbn but all employees are too busy that they cant receive a ssingle call hell
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new scandal with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new scandal with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new scandal with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi this dussehra we bring our new home with help sbi home loan thankyousbi
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought new smartphone for my lovely hubby
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi fitness kit to be fit everyday
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought new smartphone for my lovely hubby
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i just bought brand new smart tv from
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi fitness kit to be fit everyday
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new scandal with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new scandal with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi fitness kit to be fit everyday
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi fitness kit to be fit everyday
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought new smartphone for my lovely hubby
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new scandal with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought new smartphone for my lovely hubby
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i just bought brand new smart tv from
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought new smartphone for my lovely hubby
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i just bought brand new smart tv from
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought brand new ipad mini from flipkart using sbi card offer
MISCELLANEOUS,MISCELLANEOUS,newbeginnigswithsbi i bought new smartphone for my lovely hubby
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi fitness kit to be fit everyday
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi fitness kit to be fit everyday
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi this dussehra we bring our new home with help sbi home loan thankyousbi
MISCELLANEOUS,MISCELLANEOUS,excl arundhati bhattacharya chairman rosneft deal will help essar group to trim its leverage
REQUEST,COMPLAINT,someone was saying opening online a c will charge a lot
COMPLAINT,COMPLAINT,i think sbi pay his staff for excuses specially in city rural staff is still hardworking
REQUEST,REQUEST,when will you declare jaa clerical grade results?
COMPLAINT,COMPLAINT,to know the status of your atm card without going to your home branch is still not easy
COMPLAINT,COMPLAINT,sbi is one of the worst worst bank in india customer care totally worst services worst
COMPLAINT,COMPLAINT,any way start internet banking without visiting branch?registered account on sbi application but its server is always down
COMPLAINT,COMPLAINT,y r u blocking all the cards that too during this festive season that s so inconvenient it will take weeks fr a new
MISCELLANEOUS,MISCELLANEOUS,learning is a treasure to cherish procuring an education loan now made easy with vidya lakshmi to know more visit ht?
COMPLAINT,COMPLAINT,and complaints to branch manager sonari branch for refund of the amount to the correct account no but no action pls help
COMPLAINT,COMPLAINT,sbi atm debit card blocked without intimating customer and no proper communication worst bank ever seen
COMPLAINT,COMPLAINT,my card has been blocked without any intimation to me why so i contacted my home branch dibrugarh code but no feedback
COMPLAINT,COMPLAINT,its waste its bn a month i snt mail still no response noupdate i had lost k due to lack of bank security
COMPLAINT,COMPLAINT,not able to login sbi online account no proper response frm customer care
COMPLIMENT,COMPLIMENT,congratulations
COMPLAINT,COMPLAINT,can u pls explain why my atm is blocked by bank account no
MISCELLANEOUS,MISCELLANEOUS,exclusive we hope to resolve essar steel issue this fiscal many npa issues will be resolved this year ?
COMPLAINT,COMPLAINT,in the garb of kyc and social benefit schemes they want to intrude our privacy ?
COMPLIMENT,COMPLIMENT,thanks for spreading the word against aadhaar much appreciated please add?
REQUEST,REQUEST,congratulations sbi but what about sbi clerk sbiclerk
MISCELLANEOUS,MISCELLANEOUS,worlds biggest bank proud sponsor worlds biggest culinary heats ycolympiad ht?
MISCELLANEOUS,MISCELLANEOUS,financegyaan the ?abc? of banking up your banking knowledge as we simplify complex finance jargons for you
MISCELLANEOUS,MISCELLANEOUS,worlds biggest bank proud sponsor worlds biggest culinary heats ycolympiad ht?
MISCELLANEOUS,MISCELLANEOUS,worlds biggest bank proud sponsor worlds biggest culinary heats ycolympiad ht?
MISCELLANEOUS,MISCELLANEOUS,shop? then just wave to pay use sbiintouch contactless debit card for a seamless paying experience offer paywave ht?
REQUEST,COMPLAINT,why are you not responding?
MISCELLANEOUS,MISCELLANEOUS,worlds biggest bank proud sponsor worlds biggest culinary heats ycolympiad
COMPLAINT,COMPLAINT,if anyone ask for shameless irresponsible disgusting bank den is d best example sbicle?
REQUEST,REQUEST,on behalf of all the aspirants we request to declare the results of sbi clerk soon sb?
REQUEST,REQUEST,do smthing abt sbiclerk result or we should boycottsbi
REQUEST,REQUEST,declare clerk result sbiclerk
MISCELLANEOUS,MISCELLANEOUS,economic times plz support us sbiclerk
REQUEST,REQUEST,y there is much delay in sbiclerk result declaration plz look lakhs st?
COMPLAINT,COMPLAINT,dictatorship by sbi shame sbiclerk
COMPLAINT,COMPLAINT,wat u pepl want? sbiclerk is not small issue ?
REQUEST,REQUEST,if u do not want give sbiclerk results u shuldn t ve ta?
REQUEST,REQUEST,please do not play the games give us sbiclerk results
COMPLIMENT,COMPLIMENT,good
COMPLAINT,COMPLAINT,sbi shame bank of india sbiclerk
COMPLAINT,COMPLAINT,which agency handles ? extremely stupid folks
REQUEST,REQUEST,it is regarding education loan my father is salaried person bank is saying in order to get loan your salary account n
MISCELLANEOUS,MISCELLANEOUS,was notified about supreme court s order by so it has committed?
MISCELLANEOUS,MISCELLANEOUS,transferring funds is now as easy as tweeting sbimingle lets your perform twitter transactions in a secure way bank?
COMPLAINT,COMPLAINT,they call it kyc compliance but want only aadhaar not any other id address?
COMPLAINT,REQUEST,hello are you serious ?? check back what you are mentioning insufficient fund?? can you l?
COMPLAINT,COMPLAINT,the same aadhar they made fun of and election gimmick until may
COMPLAINT,COMPLAINT,but yrs employee is not careing
COMPLAINT,COMPLAINT,seniors already produce life certificate most go in person and same bank account this is sheer harassment by?
MISCELLANEOUS,MISCELLANEOUS,transferring funds is now as easy as tweeting sbimingle lets your perform twitter transactions in a secure way bank?
COMPLAINT,COMPLAINT,it is asking for atm id how will i have it as the transaction was through pos
MISCELLANEOUS,MISCELLANEOUS,was notified about supreme court s order by so it has committed?
COMPLAINT,COMPLAINT,boycott instant funds transfers with sbimingle of for violating your privacy fundamentalrights?
COMPLAINT,COMPLAINT,how can sbi win bigdata award while forcing aadhaar not respecting privacy rights shame digitalindia
MISCELLANEOUS,COMPLIMENT,essar master in keeping quota thugs happy
COMPLAINT,COMPLAINT,even your phone call doesn t work i wait for minutes and some people pick up and hang the call bullshit service
COMPLAINT,COMPLAINT,its bn a month i snt mail still no response noupdate i had lost k due to lack of bank security
MISCELLANEOUS,COMPLAINT,is this gujrat model of shrewd and dictatorship on its own citizens instead convincing them
COMPLAINT,COMPLAINT,hey what actions can be taken against for this dadagiri? hey ?
MISCELLANEOUS,MISCELLANEOUS,transferring funds is now as easy as tweeting sbimingle lets your perform twitter transactions in a secure way bank?
COMPLAINT,COMPLAINT,hey what actions can be taken against for this dadagiri? hey ?
MISCELLANEOUS,MISCELLANEOUS,transferring funds is now as easy as tweeting sbimingle lets your perform twitter transactions in a secure way bank?
MISCELLANEOUS,COMPLAINT,did u check and confirm
COMPLAINT,COMPLAINT,they call it kyc compliance but want only aadhaar not any other id address proof
COMPLAINT,COMPLAINT,its waste its bn a month i snt mail still no response noupdate i had lost k due to lack of bank security
MISCELLANEOUS,MISCELLANEOUS,this festive season bethehope for an underprivileged to have a roof over his head learn how
COMPLAINT,COMPLAINT,its waste its bn a month i snt mail still no response noupdate i had lost k due to lack of bank security
COMPLAINT,COMPLAINT,its waste its bn a month i snt mail still no response noupdate i had lost k due to lack of bank security
COMPLAINT,COMPLAINT,as compared to other banks and associated banks are a real pain too many authorities and so few hands on workers
COMPLAINT,COMPLAINT,is doing contempt as aadhaar is not mandatory for bank a cs digitalindia
COMPLAINT,COMPLAINT,yes i do regularly but u guizz are not giving any notice about the delay or date of result
MISCELLANEOUS,MISCELLANEOUS,walkathon tribute to our soldiers jaipur city girlpower timesofindia sbi
COMPLAINT,COMPLAINT,transaction id money deducted not yet refunded contacted cust care but no help
COMPLAINT,COMPLAINT,sbi onlne cmplnts brnch n ndl ofcrs mail none work pl do nedful
MISCELLANEOUS,MISCELLANEOUS,fakendra modi no strict implementation of policies everything fake sbiclerk
REQUEST,REQUEST,firstly declare the long pending result of sbiclerk then ask others to join in
MISCELLANEOUS,MISCELLANEOUS,walkathon tribute to our soldiers jaipur city girlpower timesofindia sbi
COMPLAINT,COMPLAINT,loan mela in gaya no give me loan why
MISCELLANEOUS,MISCELLANEOUS,opt for the sms based high security feature that requests for an otp to complete every transaction safebankingtip se?
REQUEST,COMPLAINT,can you tell me of provison of opening bank acvount for nepali people
MISCELLANEOUS,MISCELLANEOUS,the festive period is on follow us to keep up with exciting contests promotions and giveaways
COMPLAINT,COMPLAINT,branch blocked my atm card for no reason i dint request it am in possession of my card on a saturday afternoon??
COMPLAINT,COMPLAINT,money debit from account but doesn t come out from atm machine
MISCELLANEOUS,MISCELLANEOUS,sbi exists only because of the grace of god
COMPLAINT,COMPLAINT,please help on complain number by mistake wrong pin was used at atm but entire money from account got deducted
MISCELLANEOUS,MISCELLANEOUS,cnbctv exclusive chief we benefit from essaroildeal but need to understand by how much ?
COMPLAINT,COMPLAINT,twice during the past hrs did i report about nonfunctional atms w full details same template response from both times
COMPLAINT,COMPLAINT,which agency handles ? extremely stupid folks
MISCELLANEOUS,MISCELLANEOUS,exclusive we hope to resolve essar steel issue this fiscal many npa issues will be resolved this year ?
MISCELLANEOUS,MISCELLANEOUS,why cnbc avoiding brics
COMPLAINT,COMPLAINT,sir my housing loan interests is no low automatically without any followup frequently pbb riagarh cg
COMPLAINT,COMPLAINT,hw could u block ur custmr s atm without its permission nd when i called customer care they said they regret bt they
COMPLAINT,COMPLAINT,my atm cum debit card blocked by unknown reason and without consult me may i know the reason?
MISCELLANEOUS,MISCELLANEOUS,exclusive chmn many npa cases will be resolved this year
MISCELLANEOUS,MISCELLANEOUS,exclusive chmn confident stress in system will be lower this year
COMPLIMENT,MISCELLANEOUS,sir i am satisfied now this things may be explained by branch or by mail
MISCELLANEOUS,MISCELLANEOUS,exclusive chmn confident stress in system will be lower this year
COMPLIMENT,COMPLIMENT,congratulations to mr mrutyunjay mahapatra on being awarded best cio of the year award by csi it innovations and exc?
MISCELLANEOUS,COMPLAINT,sbi lends to an unviable project then depends on russians to bail out ridiculous
MISCELLANEOUS,MISCELLANEOUS,exclusive chief hope to see credit growth this yr lower rates too will alleviate stress ?
MISCELLANEOUS,MISCELLANEOUS,exclusive we hope to resolve essar steel issue this fiscal many npa issues will be resolved this year ?
MISCELLANEOUS,MISCELLANEOUS,essaroildeal not sure if how much essar promoters will bring into essar steel sbi chmn to
MISCELLANEOUS,MISCELLANEOUS,essarroseneftdeal we may not be repaid but new borrower will be rosneft not essar sbi chmn to
MISCELLANEOUS,MISCELLANEOUS,essarrosneftdeal we gain because buyers of essar oil have deeper pockets sbi chmn to
COMPLIMENT,COMPLIMENT,thanks
MISCELLANEOUS,MISCELLANEOUS,exclusive we hope to resolve essar steel issue this fiscal many npa issues will be resolved this year ?
MISCELLANEOUS,MISCELLANEOUS,essarrosneftdeal we gain because buyers of essar oil have deeper pockets sbi chmn to ?
COMPLAINT,COMPLAINT,today i withdraw money from atm kargil chowk godda jharkhand but get rs less money plz suggest what should i do
MISCELLANEOUS,MISCELLANEOUS,cnbctv exclusive chief we benefit from essaroildeal but need to understand by how much ?
MISCELLANEOUS,MISCELLANEOUS,cnbctv exclusive chief we benefit from essaroildeal but need to understand by how much brics
COMPLAINT,COMPLAINT,till date the problem is not resolved i have sent email also
MISCELLANEOUS,MISCELLANEOUS,perform basic banking activities using dms through sbi?s official twitter handle follow us for more on sbimingle htt?
MISCELLANEOUS,COMPLAINT,it s regarding mobile banking not internet banking
COMPLAINT,COMPLAINT,i have been taking up the issues with sbi lho chandigarh throu mails regd post but of no resolution even no response
MISCELLANEOUS,COMPLAINT,arranging new cards to be issue free of cost unilaterally without customer being harassed to visiting branch as ur n
COMPLIMENT,COMPLIMENT,congratulations to all the winners of the bankonsbi contest winners please message us your email address
COMPLAINT,COMPLAINT,nice service with any notice blocks my atm and costumer care say we don t know any why your card get block thanku
MISCELLANEOUS,MISCELLANEOUS,opt for the sms based high security feature that requests for an otp to complete every transaction safebankingtip se?
REQUEST,COMPLAINT,how do i find tan number of sub for my home loan ? the call centre staff have no clue
REQUEST,COMPLAINT,writing from vidisha where and whom to contact for credit card
REQUEST,COMPLAINT,how to get this? and how to exchange old sbi silver card with newer card which is coming these days by default?
COMPLAINT,COMPLAINT,according to a myntra offer sbi is liable to give me cash back in my account but i have not received it yet been mnth
MISCELLANEOUS,MISCELLANEOUS,shop? then just wave to pay use sbiintouch contactless debit card for a seamless paying experience offer paywave ht?
REQUEST,COMPLAINT,can you mail me solution? rameshsharma com
COMPLAINT,COMPLAINT,hi your wait queue was so long that when finally someone picked up the call i forgot what my problem was
COMPLAINT,COMPLAINT,and the sarkaari saand of an asshole who picked up the call disconnected without even saying hello
MISCELLANEOUS,MISCELLANEOUS,opt for the sms based high security feature that requests for an otp to complete every transaction safebankingtip se?
COMPLAINT,COMPLAINT,card is blocked for no reason and the officials don t have a clue of why? what s going on?
COMPLAINT,COMPLAINT,cant we use the se pin for life time while we are aware and do not disclose the pin to any
COMPLAINT,REQUEST,we do have works roaming to home branch to collect them atleast give chance to collect in area we live or work please
COMPLAINT,COMPLAINT,how can block d card without update in the home branch we know how we are using the card even did not disclosed details any
COMPLAINT,COMPLAINT,the link page won t response
COMPLAINT,COMPLAINT,worst service firstly blocked my card before expiration date without notice thn fooling wid false info pls unblck my card
COMPLAINT,COMPLAINT,mamwaitingin anishabad patnain sbi branchformy challannobody is doing anything please do something wai?
COMPLAINT,COMPLAINT,been trying to call your customer care guys havock in the name of phone banking totally unmanaged ivr services unhappy
COMPLAINT,COMPLAINT,i can t sign in mvisa in state bank anywhere mobile bank app how to fix it ?
COMPLAINT,COMPLAINT,plz see the order fulfillment receipts which clarify that the order was for gc but onl?
MISCELLANEOUS,MISCELLANEOUS,may all the goodness in and around you vanquish all the evil powers on this dussehra happydussehra everyone
MISCELLANEOUS,MISCELLANEOUS,opt for the sms based high security feature that requests for an otp to complete every transaction safebankingtip se?
COMPLIMENT,COMPLAINT,am having a very productive saturday too closing a simple sbi savings account been mins only
COMPLAINT,COMPLAINT,you ppl want me to go back to mysore from delhi to get the card and pin details after blocking my card pay air fare
COMPLAINT,COMPLAINT,wtf is the problem with you ppl my card has been blocked am not in my homeplace how will i do txn cc ppl are pathetic
COMPLAINT,COMPLAINT,pls solve n refund asap pls ??? ? ? ?
COMPLAINT,COMPLAINT,ur credit card customer service and support is the worst service i had in a long time with any company was hoping for better
COMPLAINT,COMPLAINT,receivd call frm it claiming my atm card is nt active bt i usd it see movie plz look
COMPLAINT,COMPLAINT,we are being charged for cash deposits in curent ac lacs its about of our profit please try to end?
COMPLAINT,COMPLAINT,still employee not in office it s am pune deccan branch ifsc sbin counter no poor service
COMPLAINT,COMPLAINT,sir serious complain still not solved pls help sir uregnt plsss ?
COMPLAINT,COMPLAINT,just blocks my card asks me to apply for a new one asked to wait for days autocratic service ? sbi khadakpada
COMPLAINT,COMPLAINT,this form is not working
MISCELLANEOUS,MISCELLANEOUS,opt for the sms based high security feature that requests for an otp to complete every transaction safebankingtip se?
MISCELLANEOUS,MISCELLANEOUS,opt for the sms based high security feature that requests for an otp to complete every transaction safebankingtip se?
COMPLAINT,REQUEST,suddenly sbi card gt blocked call cntr unble to help branch closed today will be moving bhutan
COMPLAINT,COMPLAINT,no its not resolved the person s contact no shared in the resolution page doesn t have any information what so ever
COMPLAINT,COMPLAINT,what is ur reply i hv raised serious concern abt psu banks sbi and sbbj why psu staff s not understand imp of customer
MISCELLANEOUS,COMPLAINT,cleanliness sbi atm
MISCELLANEOUS,MISCELLANEOUS,perform basic banking activities using dms through sbi?s official twitter handle follow us for more on sbimingle htt?
REQUEST,MISCELLANEOUS,yes to elaborate by mail or in forms?mail link required
MISCELLANEOUS,MISCELLANEOUS,spotted in coventry places all its chips on landlords to hell with first time buyers h t s f?
MISCELLANEOUS,MISCELLANEOUS,absolutely true whybapujiistargeted
COMPLAINT,COMPLAINT,waiting to see my problem rectified at the earliest
MISCELLANEOUS,MISCELLANEOUS,whybapujiistargeted cos students in asaram bapu ji s gurukuls follow vedic hindu way of e?
MISCELLANEOUS,REQUEST,my name is manish kumar and today on i visit for cheque clearing for branch amy sarha branch code
MISCELLANEOUS,COMPLAINT,the mail was sent on from raj com
COMPLAINT,COMPLAINT,with out financial governance there is no end to poverty no make in india we make c?
MISCELLANEOUS,MISCELLANEOUS,go places without losing touch with your bank download statebankanywhere a mobile banking app that lets you bank fro?
COMPLAINT,COMPLAINT,my atm card blocked without any reason i called to customer care but didn t got any response need help
COMPLAINT,COMPLAINT,bsod at the atm at maq station this afternoon wanted to take a photo but the cctv and such
MISCELLANEOUS,MISCELLANEOUS,froud stakeholders lost some banks like vijay malta sudeep roy etc
MISCELLANEOUS,MISCELLANEOUS,judiciary must examine valid evidence of conspiracy against bapuji whybapujiistargeted
MISCELLANEOUS,MISCELLANEOUS,whybapujiistargeted cos students in asaram bapu ji s gurukuls follow vedic hindu way of e?
MISCELLANEOUS,COMPLAINT,one bank can change anyone betchulars lifestyle by correct way
COMPLAINT,COMPLAINT,plz have how u r cheating me u guys are just wasting time and not letting me start my online business
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi this dussehra we bring our new home with help sbi home loan thankyousbi
MISCELLANEOUS,MISCELLANEOUS,newbeginningswithsbi this dussehra we bring our new home with help sbi home loan thankyousbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
MISCELLANEOUS,MISCELLANEOUS,dussehra contestalert lastchance i bought new sarees with sbi card newbeginningswithsbi
