Expected,Predicted,Content
DEFAULT,REQUEST,for god sake u lot should transfer my money now i urgently need to do sth
DEFAULT,REQUEST,how can a fraudulent account be reported
DEFAULT,REQUEST,pls what is the code for sms banking
DEFAULT,COMPLAINT,i called and was told i can make the request via customer care and so i did
DEFAULT,COMPLAINT,i want to report an access bank account that is used for fraud
DEFAULT,COMPLIMENT,thanks pls cydm
DEFAULT,COMPLAINT,but i was told it takes working days so when do my working days start counting
DEFAULT,REQUEST,good morning pls i need to confirm something on my acc kindly follow back for dm
DEFAULT,COMPLAINT,i made a transaction yesterday from my account i was however debited without crediting the account i transferred to
DEFAULT,REQUEST,pls you guys need to debit me for my visa card reissueance i need it very urgently please this isn't nice at all
DEFAULT,REQUEST,how can i open account wth d bank
DEFAULT,COMPLAINT,how could u guys do such to our sister with her months old child indeed it's outdated it'll affect u guys believe me
DEFAULT,REQUEST,please help to refresh my account now k still hanging
DEFAULT,COMPLIMENT,access&gt &gt &gt debit alert amt: ngn dracc: ****desc: bills glo time: :
DEFAULT,COMPLAINT,give me my money since on the nd of this month what are you guys working on
DEFAULT,REQUEST,please do you accept deposits into neteller accounts with my visa naira card
DEFAULT,MISCEALLANEOUS,i guess the next in line to kneel and beg oga fayose is i'm staying tuned for this drama
DEFAULT,COMPLAINT,i'm currently is arizona
DEFAULT,MISCEALLANEOUS,what happened to network this evening i wanted to pay through the pos at shoprite see embarrassment poses even the atm
DEFAULT,MISCEALLANEOUS,alright
DEFAULT,COMPLAINT,lol it's crazy
DEFAULT,REQUEST,please note that international atm withdrawals have been disabled on all naira debit cards thanks
DEFAULT,COMPLAINT,can i withdraw cash with the nigerian debit card from the atm or it's only online and pos transactions
DEFAULT,COMPLAINT,what's the update on my failed web transaction it's over days now and no reply fform u guys
DEFAULT,COMPLAINT,you have to follow me so i can dm you
DEFAULT,MISCEALLANEOUS,can i do that without coming to nigeria
DEFAULT,REQUEST,please reply all my messages
DEFAULT,COMPLAINT,ignoring a customer is wrong
DEFAULT,COMPLAINT,this leaves me stranded anyway to have a fresh $ limit for the rest of the month
DEFAULT,COMPLAINT,this isn't a well thought out decision how do you reduce $ to $ mid month and include previous expenses
DEFAULT,MISCEALLANEOUS,does that include transactions i've done this month
DEFAULT,MISCEALLANEOUS,wow we can't withdraw with our cards again
DEFAULT,COMPLIMENT,thanks but i need to inform that its over hours now
DEFAULT,REQUEST,hello pls kindly tell olumuyiwa to get back to me on the issue we discussed last week thanks
DEFAULT,COMPLAINT,will it work with my naira visa card
DEFAULT,COMPLIMENT,hi pls i erroneously sent a glo card to an mtn line through access online portal its over hrs without reverting thanks
DEFAULT,REQUEST,trying to recharge my line with the * code but 'coming soon' has been the reply why pls cc
DEFAULT,COMPLAINT,sent to your portal for confirmation for upto weeks they have not heard from your bank please deal
DEFAULT,COMPLAINT,hello access bank please you customer stood for me as referre to open a current account for gtbank an email has been
DEFAULT,COMPLAINT,after trying to subscribe to my gotv via accessbank mobile app d money can be traced or accessed who's scamming me
DEFAULT,REQUEST,hello please do you accept deposits into neteller accounts
DEFAULT,COMPLAINT,i'm still waiting for you to resolve my transaction issue
DEFAULT,COMPLAINT,but i have not done any transaction this month
DEFAULT,COMPLAINT,its not always like dt wit quicktelller i used quickteller before if nt that d new atm u gave dt quickteller is rejecting
DEFAULT,REQUEST,my numbers are available and moreso i'm always having the issue when i use accessbank app
DEFAULT,COMPLAINT,it just doesn't go through trying to pay for a $ and i ve about in the account yet it doesn't go through
DEFAULT,COMPLAINT,the same thing happened last month and let me know if access bank app is not eligible for the payment
DEFAULT,COMPLAINT,i made subscription wit my accessbank mobile app and though the money has been deducted my gotv is still nt active
DEFAULT,REQUEST,i have been trying to make use of my naira visa card for web payment precisely paypal and it isn't going thru any help
DEFAULT,COMPLAINT,there is no option to direct message you my personal phone number
DEFAULT,COMPLAINT,is the existing monthly usage considered or starting now you get a $ limit card not working atm
DEFAULT,COMPLAINT,ignoring a customer is wrong
DEFAULT,REQUEST,please reply all my messages
DEFAULT,COMPLAINT,once again still haven't been debited for the visa card and my working days has started counting
DEFAULT,COMPLIMENT,yes i got the reversal notification thanks for the prompt response
DEFAULT,COMPLAINT,what the limit for dollar transactions e g payment via pos on naira debit card
DEFAULT,COMPLAINT,i tried recharging an airtel line with airtime my account as been debited the line hasn't been credited
DEFAULT,REQUEST,it's been over hrs kindly help my details are in your dm thanks
DEFAULT,COMPLAINT,hi i tried to buy vtu using the access mobile app money was deducted from my acc but the airtime wasn't delivered
DEFAULT,COMPLAINT,i have a scanned copy of my complaints from access bank maryland branch which was dated on the
DEFAULT,REQUEST,savings account
DEFAULT,COMPLAINT,i guess access bank tweeter handles are on auto reply please prove me wrong by actually solving a customer problem thanks
DEFAULT,COMPLAINT,you guys are not looking in to by wrongful debit you guys have just being saying the same thing all over again
DEFAULT,COMPLAINT,can i make purchases in ngn from foreign sites that support dynamic conversion and does the limit affect it
DEFAULT,COMPLAINT,hi are your naira visa cards still usable for foreign online transactions if yes what are the limits
DEFAULT,COMPLAINT,i was told wait again another hrs since :am of are u guys actually doin anytin abt this wrongful debit
DEFAULT,COMPLAINT,hi i have an issue pending yet to be solved check your dm
DEFAULT,COMPLAINT,imagine if someone else is getting yours
DEFAULT,MISCEALLANEOUS,hello i'm really tired of getting this guys alerts plus now that know his name account no da
DEFAULT,REQUEST,what's the dollar debit card limit
DEFAULT,REQUEST,hi please this number is disturbing me that my atm has been block due to bvn issues +
DEFAULT,COMPLAINT,gm how much is your dollar exchange rate for web transaction
DEFAULT,REQUEST,i thought is something i can call the bank from house and the pin would be text to me
DEFAULT,REQUEST,the question is do have bvn cards available for account owners in your bank
DEFAULT,COMPLAINT,you guys are yet to rectify the problem it's not funny anymore it's like you're doing nothing
DEFAULT,COMPLAINT,i am getting someone else's bank alerts and it's driving me crazy and i've told you guys before
DEFAULT,REQUEST,wat do u mean by via dm
DEFAULT,COMPLAINT,selling starts with understanding the needs of the prospect
DEFAULT,COMPLAINT,please is there a way to get an otp in order to make online transfers while i am here in the uk
DEFAULT,COMPLIMENT,thank you
DEFAULT,MISCEALLANEOUS,today is i'm i'm lagos and is debited from my account around sapele road in beni
DEFAULT,MISCEALLANEOUS,i've done that and the mail was returned undelivered
DEFAULT,REQUEST,how can i check my account balance without internet
DEFAULT,REQUEST,pls follow i need to dm
DEFAULT,COMPLAINT,that's wah it kip bringing out
DEFAULT,COMPLAINT,ama go give it a shot
DEFAULT,REQUEST,cool
DEFAULT,MISCEALLANEOUS,i am using google chrome
DEFAULT,MISCEALLANEOUS,my mobile banking app was blocked i can't log into my account and i tried to unlock the device but i could not
DEFAULT,COMPLIMENT,thanks
DEFAULT,COMPLIMENT,hi please dial ** thanks
DEFAULT,COMPLAINT,morning still haven't been debited for the visa card reissueance even after i was told it will be ready in working days
DEFAULT,COMPLAINT,guys it seems like my visa card is now useless what would it cost me to get a verve card i feel it should be free
DEFAULT,REQUEST,what is the ussd code for checking account balance on mobile
DEFAULT,COMPLIMENT,thank you this was very helpful
DEFAULT,REQUEST,hi please dial ** to view your account balance thanks
DEFAULT,COMPLAINT,still can't login my app without resetting the app somene called and asked questions but didn't resolved anything
DEFAULT,MISCEALLANEOUS,this what i keep getting
DEFAULT,MISCEALLANEOUS,you guys told me after hour my access mobile would unlock
DEFAULT,REQUEST,owk i mean saving account
DEFAULT,MISCEALLANEOUS,go ahead when you already stopped the usage of naira master card abroad jokers everywhere
DEFAULT,REQUEST,please can u re verify how the rate is currently web pos and how much is the limit daily
DEFAULT,REQUEST,pls i need to access my app from my mobile device but i lost my username and password can you help pls
DEFAULT,MISCEALLANEOUS,no i haven't download the mobile application
DEFAULT,REQUEST,i tried using the * to make a balance inquiry but was told profile for this account couldn't be retrieved please help
DEFAULT,COMPLAINT,it says wrong password or id but thats what i'm using now with my blackberry phone now
DEFAULT,COMPLAINT,checked my mailbox too it's empty
DEFAULT,REQUEST,ok i mean the paywithcapsure
DEFAULT,REQUEST,i should kindly do what
DEFAULT,COMPLAINT,can i use the e id to make foreign payments online
DEFAULT,REQUEST,hi please this e id card how do i get the account number if there's any and how do i fund the account
DEFAULT,COMPLAINT,unable to complete a transaction because otp needed was not sent to my number
DEFAULT,COMPLIMENT,alright thanks
DEFAULT,REQUEST,how can i transfer money from my account to other bank
DEFAULT,COMPLAINT,does my card still need to be opened to use for pos payments
DEFAULT,COMPLAINT,thank you but considering i already spent $ before the new limits were set can i still use my card for pos up to $
DEFAULT,COMPLIMENT,thanks a lot
DEFAULT,COMPLAINT,congrats boss enjoy
DEFAULT,COMPLIMENT,yes thanks to my favourite bank
DEFAULT,COMPLIMENT,yipeeee big thank you shoutout for the bank credit alert of accessbankcsw quiz i'm so grateful cc
DEFAULT,COMPLAINT,i attempted an atm withdrawal yesterday was declined asked to contact my bank and please what is today's rate for the egp
DEFAULT,MISCEALLANEOUS,hello i already spent $ when the limit was $ can i still spend the new $ on pos using my card i am in egypt
DEFAULT,COMPLAINT,can i still make withdrawal with my naira debit card outside nigeria and pls if yes what is the monthly limit
DEFAULT,SUGGESTION,abi you guys know something i don't know stop it right now
DEFAULT,COMPLAINT,cause i'm not understanding i have lodged this complaint before and you guys seem not to have sorted it out
DEFAULT,COMPLAINT,if you people don't stop calling my line and asking for a random customer i will go and report you guys to efcc
DEFAULT,MISCEALLANEOUS,i have done that but no response yet
DEFAULT,COMPLAINT,how much is your monthly forex transaction limit
DEFAULT,COMPLAINT,my bvn was linked after a long battle and now it is unlinked again on the grounds that my account has names and my bvn
DEFAULT,COMPLIMENT,ok thanks
DEFAULT,COMPLAINT,can we still use domiciliary account abroad
DEFAULT,REQUEST,please what is the current exchange for dollar web pos on naira based visa card
DEFAULT,COMPLAINT,the paywithcapture app has failed me and their customer service could not do anything for over a week
DEFAULT,COMPLAINT,hello guys av u heard about how useless this application called paywithcapture is
DEFAULT,COMPLAINT,i tried to transfer money using quick teller and i was told issuer or switch inoperative but was still debite
DEFAULT,MISCEALLANEOUS,my phone is not available currently i will dm my email is that okay
DEFAULT,COMPLAINT,i tried to transfer money using quick teller and i was told issuer or switch inoperative but was still debite
DEFAULT,COMPLAINT,i tried to transfer money using quick teller and i was told issuer or switch inoperative but was still debited
DEFAULT,REQUEST,how do i check my accnt balance via mobile
DEFAULT,COMPLIMENT,thanks
DEFAULT,COMPLAINT,im wondering o
DEFAULT,COMPLAINT,send the money no way oya gimme the money back no can someone just tell me the truth
DEFAULT,COMPLAINT,since last week thurs so so storyland
DEFAULT,REQUEST,please help me understand how a simple transfer has not been effected for over a week eveytime ur ppll say its been done
DEFAULT,COMPLAINT,no i didn't it was on dcounter withdrawal
DEFAULT,COMPLAINT,same story guys and i need to use this platform like yesterday
DEFAULT,REQUEST,can i pay wit my verve card
DEFAULT,REQUEST,i open account on wednesday uptill now i ave not received my account number
DEFAULT,COMPLAINT,wats d bank charge or conversion rate
DEFAULT,MISCEALLANEOUS,can't see the option to transfer
DEFAULT,COMPLAINT,hi did an online transaction but it's yet to reflect on the platform while my account has been debited
DEFAULT,COMPLAINT,superfrustrated contactcenter says acct is restricted but we've getting transaction debit alert charges
DEFAULT,COMPLAINT,is there something wrong with your site can't make transfers
DEFAULT,COMPLIMENT,access&gt &gt &gt debit alert amt: ngn dracc: ****desc: www lang time: :
DEFAULT,COMPLIMENT,issue already sorted thanks
DEFAULT,COMPLAINT,i made online payment to my accnt on on completion it was not successful but access bank debited my acc
DEFAULT,COMPLAINT,pls you people should try and free my account i just need my money
DEFAULT,REQUEST,i'll be sending a mail to that effect and i'll cc all access bank mails i can lay my hands on yes recession isn't funi
DEFAULT,COMPLAINT,what must a man do to get a full refund please
DEFAULT,REQUEST,and aliexpress so far please i need my money back
DEFAULT,COMPLAINT,of fund recovery and i'm yet to get any as i type i've been frustrated from both sides so far access and
DEFAULT,REQUEST,i've spoken to reps from your bank and both said they'll send a form to me which would aid in the process
DEFAULT,COMPLAINT,the crux of the matter is i want a refund but i can't seem to
DEFAULT,COMPLAINT,according to the merchant and the customer care rep from aliexpress
DEFAULT,COMPLAINT,i made a payment with my card on aliexpress but the order was cancelled due to security reasons on my card
DEFAULT,COMPLAINT,dm i've got a complaint
DEFAULT,COMPLAINT,just those two alone to upgrade it right
DEFAULT,COMPLAINT,i have student id and the nimc i told you what else do you need i dnt have a pvc
DEFAULT,COMPLAINT,but the number is rightly switched on with full network
DEFAULT,REQUEST,i was told i could only get the plastic after one or two years i'm currently expecting a big fund soon wat do i do
DEFAULT,COMPLAINT,hi the same one you normally call
DEFAULT,COMPLAINT,why is it not acceptable but it is boldly written on it that it could be used for legal transactions
DEFAULT,REQUEST,how much is a dollar to naira a
DEFAULT,COMPLAINT,alright thanks but the nimc i have is still the laminated one original tho
DEFAULT,REQUEST,hello good pm please can i upgrade my account from tier to standard using national id card new nimc
DEFAULT,COMPLAINT,hello good morning without my visiting your branch pls can i unlock a device for the online banking app
DEFAULT,REQUEST,re u guys currently changing customers account number i got a text that my account number has bn changed
DEFAULT,REQUEST,hello please confirm accessbank branch in anyigba kogi state if any thank you
DEFAULT,REQUEST,alright but i will be able to withdraw today
DEFAULT,COMPLAINT,good morning is there a way i can apply for a visa card w o actually going to to the bank
DEFAULT,COMPLAINT,wow guys access bank is the best i applied for a new visa card in the confines of my bedroom so nice keep it up
DEFAULT,COMPLAINT,good morning is there a way i can apply for a visa card w o actually going to to the bank
DEFAULT,COMPLAINT,i was wrongfully debited via pos since on i went complained at my branch on the nothin has hpped til nw
DEFAULT,COMPLAINT,thanks for reaching out yesterday my query is being resolved awaiting feedback
DEFAULT,REQUEST,hello please how much is your dollar bank rate and can i use my card for international transactions
DEFAULT,COMPLAINT,good morning i tries withdrawiing with my verve card bt it keep telling me transaction not completed
DEFAULT,COMPLAINT,hi i'm trying to unlock device on your mobile banking app and it says service not available how can i log into the app
DEFAULT,REQUEST,thank you and device has been unlocked now i can get back to business with ease
DEFAULT,COMPLIMENT,thanks u guys were rely helpful god bless
DEFAULT,COMPLAINT,without id
DEFAULT,REQUEST,i already sent direct message check it or simply tell me if access cards can work abroad and names of the countries
DEFAULT,REQUEST,check dm message please
DEFAULT,COMPLAINT,just want to know if access bank cards works abroad and maximum withdraw in a month in dollar
DEFAULT,COMPLAINT,customer service is just the bestfriendly and timely response thumbs up
DEFAULT,COMPLAINT,i want to receive a message only per transaction not multiple messages
DEFAULT,REQUEST,hi what's your daily and monthly limits for foreign withdrawals please wasn't able to do any transactions today
DEFAULT,REQUEST,hi sequel to our conversation kindly be informed that the feedback is currently receivin
DEFAULT,COMPLAINT,all i seek is u shld fund my account as promised
DEFAULT,COMPLAINT,only me to get a message that the issue has been resolved when the other bank is still holding on to my remaining moni
DEFAULT,COMPLAINT,made a complain about deducted money from another atm twice nd only half was returned
DEFAULT,COMPLAINT,thanks but has already helped me sort things out
DEFAULT,REQUEST,i'm receiving double message from the bank please help to solve the problem
DEFAULT,COMPLAINT,na wah for ur customer care u guys are too slow a simple follow back since morning i nid to dm u and forward my complaint
DEFAULT,REQUEST,i used the accessbank mobile app what kind of information will i provide
DEFAULT,REQUEST,please follow me i nid to dm u guys
DEFAULT,COMPLAINT,i don't have acc with but notification keeps coming since last night something is wrong pls cor
DEFAULT,SUGGESTION,tried to deposit into my acct bt it was unsuccessful yet my money was debited pls can u look into it asap
DEFAULT,COMPLAINT,paywithcapture though i've finally succeeded in linking my account to it tank u
DEFAULT,REQUEST,i do not want to believe that you are deliberately ignoring my messages
DEFAULT,MISCEALLANEOUS,when i asked before ya'll sent me to ikotun festac or egbeda branch all i wanted to do was moneygram
DEFAULT,COMPLAINT,your internet bank facility is not reliable
DEFAULT,COMPLAINT,im in uk now my card isnt working bvn card you didnt provide so i couldnt do travelex access bank useless gan i swear
DEFAULT,COMPLAINT,but the peter guy in your shomolu branch told me at am that fx was exhausted for the day imagine such utter uselessness
DEFAULT,MISCEALLANEOUS,when i asked before ya'll sent me to ikotun festac or egbeda branch all i wanted to do was moneygram
DEFAULT,COMPLAINT,i don't have atm card
DEFAULT,COMPLIMENT,it's been resolved thanks for the swift response
DEFAULT,COMPLIMENT,it's been resolved thanks for the swift response
DEFAULT,COMPLIMENT,okay thanks
DEFAULT,COMPLIMENT,okay thanks
DEFAULT,COMPLAINT,i will be glad if you work on my reversal once more
DEFAULT,COMPLIMENT,okay thanks
DEFAULT,REQUEST,pls how can i link my bvn online thanks
DEFAULT,REQUEST,when you will be withdrawing large amounts
DEFAULT,REQUEST,ok but u need to follow me so dat i will be allowed to dm u guys and send in my phone and bank acct no
DEFAULT,MISCEALLANEOUS,i just atmpted a trnsction online usin my debitcard attached to my current acct savings d transaction was declined why
DEFAULT,REQUEST,pls reply my dm
DEFAULT,SUGGESTION,bruv if na another bank your account dey it hav go be that oo
DEFAULT,REQUEST,hi my debit card got swallowed by your atm at simbiat abiola branch yesterday night pls when can i pick it up thanks
DEFAULT,MISCEALLANEOUS,what of visa credit card same rate
DEFAULT,COMPLAINT,pls i want to carry out an online transaction using my naira visadebit card pls what is d exchange rate for usd as at now
DEFAULT,MISCEALLANEOUS,this is my own phone number
DEFAULT,COMPLIMENT,thanks
DEFAULT,COMPLAINT,i also send to via my gtb on also not yet received
DEFAULT,REQUEST,kindly follow back for me to dm thanks
DEFAULT,MISCEALLANEOUS,pls dm me to reply sorry for d last post
DEFAULT,COMPLAINT,on oct by :pm i sent was sent to yakubu dagauda money not yet
DEFAULT,COMPLIMENT,thanks
DEFAULT,REQUEST,his birthday few months ago and access posted his picture don't know if it's possible with mine
DEFAULT,COMPLAINT,don't know how to begin but i'll try and be direct my friend any i are customers of your bank he had
DEFAULT,COMPLAINT,hi follow accessbankhelp and dm they'd like to ease inconvenience
DEFAULT,REQUEST,hi we saw your tweet and would like to help please follow and provide us via dm with more details
DEFAULT,REQUEST,my phone number here
DEFAULT,COMPLAINT,cbn suspends all banks except first bank from forex sale to bdcs how true themasqueradesarehere
DEFAULT,MISCEALLANEOUS,without going to nearest branch i can't get the pin on my own
DEFAULT,COMPLAINT,that's the phone number of my access bank acct
DEFAULT,MISCEALLANEOUS,i sent k to a friend yestday i didn't see 'transfer successful' but i was debited d recepient 've not got d money yet
DEFAULT,REQUEST,i have an exciting account but i have forgotten all the details
DEFAULT,COMPLAINT,pls lift the pnd on my account for more than a month now
DEFAULT,MISCEALLANEOUS,martin
DEFAULT,REQUEST,account was never credited my account number is please help me to rectify the issue my nairabet username is
DEFAULT,COMPLAINT,to fund my nairabet account on the at p m my access bank account was debited of but my nairabet
DEFAULT,COMPLAINT,i tried to make a transfer of with my access bank account using my access bank atm card on an interswitch platform
DEFAULT,REQUEST,hi banker i transfer which receiver have not received i have done dm to you too pls revert asap
DEFAULT,COMPLAINT,i just got a text from you saying my account has been restricted reason no bvn
DEFAULT,COMPLAINT,recharging online trying pay bills with vogue pay also transferring money online it keeps saying contact ur bank why
DEFAULT,COMPLAINT,hi there just restarted still the same problem
DEFAULT,REQUEST,pls i made payment into my dstv with sc: from mobile app with a c and is yet to reflect pls confirm
DEFAULT,REQUEST,savings acount
DEFAULT,COMPLAINT,if there's an award for best customer care attendant adewunmi agunbiade of would certainly get my vote
DEFAULT,COMPLAINT,i just got the best customer service from adewunmi agunbiade of access bank fantastic professional kudos
DEFAULT,COMPLAINT,hello i observed that has been replying in your stead yet is not verified clarifica
DEFAULT,COMPLAINT,access is my banking and i enjoy the servuces
DEFAULT,REQUEST,please how many s to gain frontline officer internship
DEFAULT,REQUEST,please how many s to gain frontline officer internship
DEFAULT,COMPLAINT,i used your atm to do transfer which didn't go thru but got debited n it's been almost a month n ure yet to rectify d prob
DEFAULT,REQUEST,hello how much is your online payment rates dollar and pound
DEFAULT,REQUEST,i need some help with my account
DEFAULT,MISCEALLANEOUS,akpapava branch in benin i submitted my pvc even order my shares dividend to be paid directly to my account
DEFAULT,MISCEALLANEOUS,done
DEFAULT,COMPLIMENT,thanks for being high value members this week much appreciated : insight by
DEFAULT,COMPLAINT,good day pls what r d reqremnts of openin current acct is ther anymonthly quarterly or annum charges afteropening
DEFAULT,MISCEALLANEOUS,but am outside the country and i submitted my pvc before leaving
DEFAULT,COMPLAINT,is it a one off fee
DEFAULT,REQUEST,is it a one off thing
DEFAULT,COMPLIMENT,thanks
DEFAULT,MISCEALLANEOUS,hello i need help unlocking my new mobile to use mobile app
DEFAULT,COMPLAINT,i choose to use the atm machine
DEFAULT,COMPLIMENT,thanks for being high value members this week much appreciated :
DEFAULT,REQUEST,thanks i can now access my account
DEFAULT,COMPLAINT,hello there still awaiting your feedback
DEFAULT,COMPLAINT,it's still not working
DEFAULT,REQUEST,why can i use my visa debit card outside nigeria it should be fixed urgently
DEFAULT,REQUEST,verve i want to use it for local online transaction i already sent u a dm kindly cydm
DEFAULT,COMPLAINT,alrt tanks for dis
DEFAULT,COMPLIMENT,hi kindly cydm thank you
DEFAULT,REQUEST,can u also tell what sort code is for
DEFAULT,COMPLAINT,but there are some sort code online that states general for all branches does that mean they re incorrect
