Expected Category, Predicted Category,Content
SUGGESTION,NEWSNEUTRAL,commercial real estate _ñð wells fargo commercial #online #payday #loan 1eauubkcj
SUGGESTION,NEWSNEUTRAL,commercial real estate _ñð wells fargo commercial #online #payday #loan 38z2c
SUGGESTION,COMPLAINT,community college student loans _ñð career training loans _ñð wells fargo #payday #loan #lenders #only https://t.co/5meqkn5smc
SUGGESTION,COMPLAINT,community college student loans _ñð career training loans _ñð wells fargo #payday #loan #lenders #only 8yhlcjui
SUGGESTION,COMPLAINT,community college student loans _ñð career training loans _ñð wells fargo #payday #loan #lenders #only 4jdvjeku
MISCELLANEOUS,MISCELLANEOUS,companies #taurus should work for 
MISCELLANEOUS,MISCELLANEOUS,companies #taurus should work for 
SUGGESTION,MISCELLANEOUS,consider debt consolidation _ñð wells fargo #federal #pell #grant 7csz
SUGGESTION,MISCELLANEOUS,consider debt consolidation _ñð wells fargo #federal #pell #grant 1v
NEWSPOSITIVE,NEWSPOSITIVE,consumer confidence boosts holiday shopping; economists predict 3.8% sales growth. full report via 2hib7m
MISCELLANEOUS,MISCELLANEOUS,cov is gonna get boo'd out of the wells fargo center by the end of the night
NEWSNEUTRAL,NEWSNEUTRAL,despite #cisco's below-consensus q2 guidance wells fargo sees risk-reward as attractive. read more: 9t0iyccgc $csco
NEWSNEUTRAL,NEWSNEGATIVE,details of new enforcement for #wellsfargo stemming from september action over fraud. 15ndj4i
SUGGESTION,NEWSNEUTRAL,diverse #smallbiz support: #cdfi orgs that help #entrepreneurs grow #smallbiz share $11.2 million from #wellsfargo 
NEWSNEUTRAL,REQUEST,enlink midstream to present december 6 at the wells fargo pipeline mlp and utility symposium 8l2nq
NEWSNEUTRAL,NEWSNEUTRAL,essent group ltd. $esnt stake reduced by wells fargo &amp; company mn 
NEWSNEGATIVE,NEWSNEGATIVE,feds 'tightening straitjacket' around wells fargo: a key wells fargo_ñ_ https://t.co/17qtapqjyf #business #news
COMPLAINT,COMPLAINT,friend asked for banking recommendations _ñòredesign_ñ? confirms how behind the times they are. is my pick best cs &amp; tech!
COMPLIMENT,MISCELLANEOUS,good morning from #lincoln #nebraska! _éñ«ô? i just had the pleasure of talking with this awesome group of ñ_ 4cobh6syu
NEWSNEGATIVE,MISCELLANEOUS,has wells fargo's misfortune provided opportunities for your community based fi? be positioned to take advantage! 8cntmqy8
MISCELLANEOUS,MISCELLANEOUS,headed to the wells fargo center to see stevie nicks tonight? get us an autograph! #standback 8fjtd
MISCELLANEOUS,MISCELLANEOUS,hey we're so excited you'll be w/ us for #mplswinterskate opening. join us wednesday 1:30p l_ñ_ https://t.co/7vaxmunfav
NEWSNEGATIVE,NEWSNEGATIVE,5mxtkxfa rhode island will join investors demanding wells fargo come clean 5mxtkxfa_ñ_ 9jbrpmqg
COMPLAINT,COMPLAINT,i have been dealing with a #wellsfargo claim for almost two months. once this is over i am out. such a disappointment. so unprofessional.
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! https://t.co/3zutlhr5qe
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! https://t.co/9nf9focwwr
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 9rhbek2nd
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 2ipsrp
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 7f
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 6yvyikr96
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 2uknjb
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 0qwyarv
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 1uuk
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 2g4fm4
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 4lms
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 1mdei
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 8ph
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 8evejicc
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 
MISCELLANEOUS,MISCELLANEOUS,i just checked in at wells fargo with #mplusplaces download today! 31asmbnp
MISCELLANEOUS,MISCELLANEOUS,i'm at wells fargo in houston tx https://t.co/7c6obt5gxv
MISCELLANEOUS,MISCELLANEOUS,i'm at wells fargo in new boston tx 5zbv7cnyc
MISCELLANEOUS,MISCELLANEOUS,i'm at wells fargo in san diego ca 3wbglyd
MISCELLANEOUS,MISCELLANEOUS,i'm going to at wells fargo center in philadelphia pa - oct 10 
COMPLAINT,COMPLAINT,i'm too busy and it's been doing this for a month _ªé¥ 2sada30mp
REQUEST,COMPLAINT,if you know anyone who did a loan mod w/ #wellsfargo please share 8nciy14zm
COMPLAINT,COMPLAINT,jesus give me time and strength to close my account and find a new bank to fit my needs. amen
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: https://t.co/88eoczmzrg #customerservice #chandler az #veterans #hiring
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 4q7ksi #banking #buenapark ca #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 3vfymvub #santamonica ca #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: #banking #poway ca #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 46bpsa #menomoneefalls wi #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 94k23ov #banking #spokane wa #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 83t5u #dadecity fl #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 3vbwkywhp #investmentbanking #newyork ny #veterans #hiring
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 0stim1x #banking #losangeles ca #veterans #hiring #careerarc
SUGGESTION,MISCELLANEOUS,join the wells fargo team! see our latest #job opening here: 2cpgo #businessmgmt #sanfrancisco ca #veterans #hiring
MISCELLANEOUS,MISCELLANEOUS,just posted a photo @ wells fargo center https://t.co/57pbyxqgmb
COMPLAINT,COMPLAINT,just put some extra cash in my account and i'll forgive you. i mean i have been a customer for 19 out of 22 years of my life. #wellsfargo
NEWSNEGATIVE,NEWSNEGATIVE,lawmakers: #wellsfargo employee files show #bank knew of fake account fiasco 0 by_ñ_ 5wuahw3
MISCELLANEOUS,MISCELLANEOUS,lawyer accepting social media... finally! wonder if those lawyers tweet ? #sm #adlaw #smlaw 8t1nr
SUGGESTION,MISCELLANEOUS,maria &amp; i are literally making 250x more in interest with my credit union than i did at wells fargo. time to switch. https://t.co/7ulx8bpetg
NEWSNEUTRAL,NEWSNEUTRAL,maxlinear inc. $mxl shares bought by wells fargo &amp; company mn 8fdwuu
NEWSNEUTRAL,NEWSNEUTRAL,motorcar parts of america inc. $mpaa shares sold by wells fargo &amp; company mn 1llslbq50
NEWSNEGATIVE,NEWSNEGATIVE,natural news announces economic boycott of cnn corp. sponsors including geico wellsfargo sprint dodge &amp; etrade 5xmm
NEWSNEGATIVE,NEWSNEGATIVE,natural news announces economic boycott of cnn corporate sponsors geico wellsfargo sprint dodge and etrade 1ulvz
NEWSNEGATIVE,NEWSNEGATIVE,natural news announces economic boycott of cnn corporate sponsors incl geico wellsfargo sprint dodge and etrade https://t.co/7asixyaoef
NEWSNEGATIVE,NEWSNEGATIVE,natural news announces economic boycott of cnn corporate sponsors including geico wellsfargo sprint dodge etrade 4r76whyvi
SUGGESTION,NEWSNEUTRAL,new &amp; used car loan options _ñð wells fargo #salinas #auto #mall https://t.co/4khsd4plbr
SUGGESTION,NEWSNEUTRAL,new &amp; used car loan options _ñð wells fargo #salinas #auto #mall https://t.co/5gufl6cu6k
SUGGESTION,NEWSNEGATIVE,new &amp; used car loan options _ñð wells fargo #salinas #auto #mall 2
SUGGESTION,NEWSNEUTRAL,new &amp; used car loan options _ñð wells fargo #salinas #auto #mall 1y
SUGGESTION,NEWSNEUTRAL,new &amp; used car loan options _ñð wells fargo #used #honda #cars 5bycjwzwl
NEWSNEUTRAL,NEWSNEUTRAL,new post: 'massive' wells fargo probe won't be complete until spring 2hqccnzga
NEWSNEUTRAL,NEWSNEUTRAL,new post: 'massive' wells fargo probe won't be complete until spring 
MISCELLANEOUS,MISCELLANEOUS,now with trump --us authorities may have to work for a living rather than looking the other way! 9xboccz9l
MISCELLANEOUS,COMPLAINT,oh i thought you was talking about wells fargo; but thank god _ªé© 5bliwylr
COMPLAINT,COMPLAINT,on some real shit: where the fuck is my money wells fargo? _ªé__ªé_
SUGGESTION,NEWSNEGATIVE,pls see new rico case eastern virginia alexandria 1:16 cv 1360 cmh/jfa if you did a loan mod #wellsfargo_ñ_ 6kewivr
COMPLAINT,COMPLAINT,pretty sure wells fargo bill pay involves sending a tiny bag of gold via stagecoach to the other company that's how fucking slow it is.
NEWSNEUTRAL,NEWSNEGATIVE,read #equipmentfinance exec's comments on the monthly leasing and finance index 92jony
SUGGESTION,NEWSNEUTRAL,refinance rates wells fargo: jkcpznk 4aeuzuli
NEWSNEGATIVE,NEWSNEGATIVE,regulator imposes tighter restrictions on wells fargo wona t say why. #wellsfargo 9janhck
NEWSNEGATIVE,NEWSNEGATIVE,regulator wants to claw back pay of former wells fargo executives after a phony-account... #news #market 93da
COMPLAINT,COMPLAINT,so required an id to make a deposit with no cash back. what's up with that felt like profiling to me.
NEWSNEGATIVE,NEWSNEGATIVE,texas business news: wells fargo: retail customers opened 44% fewer new accounts last month #sanantonio_ñ_ 939qpdvd
COMPLAINT,COMPLAINT,they asked me what are you thankful for this thanksgiving? i said to finally cancel my account. _ªé?_ª?__ª_ó
MISCELLANEOUS,COMPLAINT,this is why i'm broke lol i spend money because i have to _ªéž 84nel
NEWSNEGATIVE,MISCELLANEOUS,this loan mod fraud may affect as many as 200000 ppl....stole houses with false docs #wellsfargo #meetthepress_ñ_ 5a
NEWSNEGATIVE,NEWSNEGATIVE,this new rico case seeks to do something about #wellsfargo fraud.. 54vu eastern virginia alexan_ñ_ 2v1nl6
NEWSNEUTRAL,NEWSNEUTRAL,tiffany &amp; co. $tif shares bought by wells fargo &amp; company mn 7bin
COMPLAINT,COMPLAINT,took me too long but i finally went and closed my wells fargo accounts #nodapl
NEWSNEGATIVE,NEWSNEGATIVE,u.s. opens investigation into wells fargo scandal 5kmla
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #albuquerque nm! click for details: 9qewxtwfa #job #banking #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #capecoral fl! click for details: https://t.co/64iot3dkfy #job #banking #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #charlotte nc! click for details: 7hlr #job #businessmgmt #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #charlotte nc! click for details: 7mj1cfbb #job #veterans #jobs #careerarc
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #fieldrep002 nj! click for details: #job #it #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #minneapolis mn! click for details: 6uyx07ex #job #banking #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #minneapolis mn! click for details: #job #veterans #jobs #careerarc
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #napa ca! click for details: 2ytvy #job #banking #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #oakland ca! click for details: 0empc #job #veterans #jobs #careerarc
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #orlando fl! click for details: 5nggzwl #job #banking #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #springhill fl! click for details: #job #banking #veterans #jobs
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #suwanee ga! click for details: 1x43z0 #job #veterans #jobs #careerarc
SUGGESTION,MISCELLANEOUS,want to work at wells fargo? we're #hiring in #wilmington de! click for details: 1k91v2onw #job #productmgmt #veterans #jobs
NEWSPOSITIVE,NEWSNEUTRAL,wells fargo &amp; company (wfc) stock rose by 1.5%! currently priced at 52.465.
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn acquires 5224 shares of unum group $unm https://t.co/91uew0r2ls
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn boosts position in scripps networks interactive inc. $sni 
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn decreases position in esco technologies inc. $ese 6enb4qix
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn has $25747000 position in signature bank $sbny https://t.co/7rz6wibhqn
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn has $26842000 position in cyberark software ltd. $cybr 65znu6cb4
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn has $27077000 position in apogee enterprises inc. $apog 9fir
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn raises position in cavium inc. $cavm 
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo &amp; company mn sells 45635 shares of zeltiq aesthetics inc. $zltq https://t.co/78bllem8ve
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo braces for losses as prosecutors delve into possible mortgage abuses 9epa 
COMPLAINT,COMPLAINT,wells fargo can have this chip debt card back.
NEWSPOSITIVE,NEWSNEUTRAL,wells fargo commercial network services leader - gtm https://t.co/0hsqwj0nip #ciscosystems #internetofthings #solutions
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo customer account openings plunge 44% https://t.co/7wcr5qmroa
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo goes robo 7wg8hicyx #finance #tech 2rg8agr
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo hit with new sanctions following fake-accounts scandal - los angeles times 9
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo hit with new sanctions following fake-accounts scandal (lack of credibility?) 2hhthi0
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo hit with new sanctions following fake-accounts scandal | via 9qu4w
NEWSNEUTRAL,NEWSNEUTRAL,wells fargo investment institute's paul christopher discusses investment strategies under a 2clyolf
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo must now get permission before handing executives 'golden ... #business 9fn 79ic4eet0
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo new account openings down 44%; credit card applications plunge by 50% | zero hedge 2oqospvpe
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo new account openings down 44%; credit card applications plunge by 50% 8fpzedsym #zerohedge #bagile
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo new account openings down 44%; credit card applications plunge by 50% 4hvgom
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo new account openings down 44%; credit card applications plunge by 50% 4ccn #zerohedge #bagile
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo new account openings down 44%; credit card applications plunge by 50%: while it_ñ_ 9acx2xlq
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo new account openings down 44%; credit card applications plunge byë_50% 7fepe2
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo payouts should be halted in wake of ruling: us lawmakers - reuters 3m5ssjzau
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo payouts should be halted in wake of ruling: us lawmakers 6pqhyri #asia #business
NEWSPOSITIVE,NEWSPOSITIVE,wells fargo provides $11.2 million to support #diverse-owned #small #businesses | business wire 17kbrjs8y
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo reports drop in new customer accounts - wall street journal #business
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo reports drop in new customer accounts - wall street journal #topstories
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo sees significant slowdown in #account openings https://t.co/8of3vajurp
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo: retail customers opened 44% fewer new accounts last month https://t.co/2nevkbn041
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo: retail customers opened 44% fewer new accounts last month 2jxp8pvsf
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo: retail customers opened 44% fewer new accounts last month 5agi #phillybusiness
NEWSNEGATIVE,NEWSNEGATIVE,wells fargo: retail customers opened 44% fewer new accounts last month: wells fargo &amp; co. said retail customers_ñ_ 
