Expected Cat, Pred Cat, Content
REQUEST,-418032522,i like the new app but where are the cash back deals located  also is there any plans to open any branches in eastern kentucky 
COMPLAINT,-844445729,my app always crashes
REQUEST,-545243085,waiting for someone to open their chatall agents are busy
COMPLIMENT,1747680500,customer relation matters
COMPLIMENT,-807935946,love this card ita been working out great
COMPLIMENT,-844445729,the new bank of america mobile app is greatthank you for the improvements it is easy to navigate and meets my on line banking needs
COMPLAINT,817244529,dont get it i tried twice to get a purchase approved by phone on my visa and was cut off twice as they were transferring me to the approval department then i received a survey asking about my experience and it didnt work i wonder if this will get through 
COMPLIMENT,-217993048,got this card before my euro trip  i love it  no foreign fee    i did not want to carry too much cash with me while traveling this card is perfect ty bofa
COMPLAINT,534402326,i need help  trying to trade futures future options binary options forex on merrill edge but cannot find any 
REQUEST,535958664,please check the dm i sent need to have something resolved today if you are closed tomorrow thanks
REQUEST,-844445729,can i avail loans for our cooperative working capital
COMPLAINT,364255888,my journey  im in baton rouge where historic flooding has destroyed half the city my mom in michigan tried to deposit cash at a branch into my account during a federally declared state of emergency they told her she couldnt put money into my account super cool thanks chase bank
REQUEST,-232787078,as a loyal customer can i waive this  dollar late fee on my slate bill 
COMPLIMENT,-232787078,best bank i have ever had   they treat you like a person and not a customer 
COMPLIMENT,-807935946,in love with my new pride card  thank you
COMPLIMENT,599361488,this is an awesome feature love the technology (& the llama too )
SUGGESTION,-844445729,when will you guys be getting touchid added to your iphoneipad app 
COMPLAINT,986940378,day na story o no reversal yet 
COMPLAINT,-595210192,no i didnt receive an otp
COMPLAINT,986940378,day na story o no reversal yet 
COMPLAINT,1422755910,i have tried that number its not going
COMPLAINT,38242272,please reply all my messages 
COMPLAINT,-807935946,thank you but considering i already spent $ before the new limits were set can i still use my card for pos up to $ 
COMPLAINT,-1868626646,c
COMPLAINT,979191103,good morning i tries withdrawiing with my verve card bt it keep telling me transaction not completed
COMPLAINT,767841304,na wah for ur customer care u guys are too slow a simple follow back since morning i nid to dm u and forward my complaint
COMPLAINT,-1095217128,hello i observed that has been replying in your stead yet is not verified clarifica nq
COMPLAINT,-844445729,cries in poverty look at my mate and you can t give me my common $ let me per day lzcrgao
COMPLAINT,-1817047744,its shows that the service is currently disabled 
COMPLAINT,-1916442447,i hope this works coz have aready submitted twice here and also marked mail to noda officer seems employee are sleeping
COMPLAINT,-807935946,i m still waiting for card to be deliver frm waybill 
COMPLAINT,-1602854661,i can t send the message since the form on the given link says please enter valid message 
COMPLAINT,1274863867,firstly ur call centre numbr keeps cutting my calls and now u expect me to fill in my details 
COMPLAINT,-938073395,funding a township which is not approved by lda is also apa of this fraud 
COMPLAINT,-844445729,they took months provided me only name card instead of image card i have forwarded so many photos they cheated me <u ><u fe f><u fe f>
COMPLAINT,-471475839,your link is not working whenever i m looking to submit it is not submitting
COMPLAINT,535958664,no one has come and resolved it
COMPLAINT,1543645400,just wondering you expect me to call to check on the status and i am suffering loosing time and patience on this
COMPLAINT,-2000382413,okay thanks thing more i told u to deactivate the sms ale service bt still u r charging me yaxes every month
COMPLAINT,767841304,i have deposited a hsbc bank cheque on th oct your customer care has no clue and asking me for branch pincode
COMPLAINT,1545693985,after complaining from the mail id you are asking to complain from registered email or phone number
COMPLAINT,-232787078,i called your customer service no time to speak to some and no one bothered to talk to me 
COMPLAINT,-232787078,wrote a mail to creditcards com but still no response great service one customer lost
COMPLAINT,-844445729,why cant i reach ur customer care ever i need to speak i call them and then the line cuts off lyk y 
COMPLAINT,767841304,why are your customer care executives are sending irrelevant mails to me without understanding the issue
COMPLAINT,-232787078,worst ever customer service from icici bank nampally hyderabad branch 
COMPLAINT,38242272,its being over a year i haven t received any reply on my issue seems u ppl are deaf enuf 
COMPLAINT,767841304,i had to make rounds to the bank multiple calls it s scary how they really don t care
COMPLAINT,611582564,i ve applied hl in virar branch but even after month i ve received not received the sanction letter
COMPLAINT,364255888,over days now where is the cashback have not received anything so far on my savings account
COMPLAINT,364255888,leave it man close that account i am opening a ac in axis bank
COMPLAINT,1431042603,they never answer on your issues but just to manage twitter
COMPLAINT,-844445729,what the atm isn t fixed badi badi baatin vada pav khaate 
COMPLAINT,714507030,icici asked my no to hear my concern however no call recd
COMPLAINT,1657294827,been comm via email for mnths no help sadly had to escalate to my bank to refute charges case 
COMPLAINT,-938073395,funding a township which is not approved by lda is also apa of this fraud app
COMPLAINT,-2088414391,read about step verification is mandatory by rbi only not for the foreign payment processors 
COMPLAINT,-2056388011,my card pin first flight doc p q not yet delivered lying at bhopal since no proper reply given by courier 
COMPLAINT,1657294827,that s nt d point card was blocked for no reason saying dr case of fraud while serving no purpose what sorcery is this
COMPLAINT,743168859,when i can expect call its more than hours
COMPLAINT,-217993048,hey fraudsters yes u r u gonna do something about the burglary u did on my acc cant believe u cant respond too
COMPLAINT,1988647585,i am shocked he was use very unprofessional behavior threat me 
COMPLAINT,-946683741,need to shift home loan and hence need all this man what a bank in this age of online banking 
COMPLAINT,-1321948884,i need money right at my doorstep this is th to th incident i m reporting i can t hearread the wor
COMPLAINT,336330398,close this dead atm poor service from past months no ac no money no rec 
COMPLAINT,2139756203,my online payments are stalled because of zero cooperation from your side
COMPLAINT,38242272,there is no reply already business hours gone ceo n employee all are shameless 
COMPLAINT,1176097286,great thought chanda ma am better tell someone to cleanup icici suppo as well it s useless
COMPLAINT,767841304,same way a chat suppo which tells me to call customer care number is useless
COMPLAINT,2089703203,rd day and no one has called fraudstericici worstbank icicibank u wont get away 
COMPLAINT,2098172049,this is how u treat ur corporate customers i didn t hear anything from anyone still c
COMPLAINT,1093354054,grammar is still your best friend though 
COMPLAINT,1996487674,its been hours gone pathetic service of liars club senior none of them called me 
COMPLAINT,979191103,your net banking isn t secure ur system says transaction failed but you still go and transfer the money tired of followups
COMPLAINT,-2096677900,why there s no kannada language in ur challan saw this today in bhattarahal
COMPLAINT,1800985023,never purchase any policy from fraud they are giving some other policy 
COMPLAINT,-157883932,please contact me on as i had already send an email on customercare but didn t get any reve on that
COMPLAINT,38242272,my payment failed on th september is saying that money in stuck with bank but here bank dosnt reply pathetic
COMPLAINT,-2096677900,two days gone still waiting for your team to contact me ur team is pretty quick when selling car 
COMPLAINT,-461346707,your way of treating your customers is by putting them on hold for one hour you guys suck 
COMPLAINT,-232787078,no service request for previous calls or sms closed without any resolution or information to customer
COMPLAINT,-1765722905,shared the details yesterday no response yet anytime soon 
COMPLAINT,1687055237,no ac from last yrs days in week no money out of service people using hdfc 
COMPLAINT,817244529,happens all the time pls dont waste our time and money pls retweet vup
COMPLAINT,-2096677900,ur fraud investigation team still not able to find out destination merchant or banker is it ur so called icicisafebanking
COMPLAINT,364255888,chip enabled debit card was physically with me on that day but someone has withdrawn cash from my account 
COMPLAINT,79030838,lost rs on oct from my icici savings in unauthorised cash withdrawal pl act fast sr
COMPLAINT,-1124039027,shittiest service by unable to unblock credit card fully automated junk can t speak to a person with
COMPLAINT,-1124039027,shittiest service by unable to unblock credit card fully automated junk can t speak to a person with
COMPLAINT,-2096677900,struggling for getting fastag from last month ur executive never came wrost service icicibank
COMPLAINT,-844445729,my phone no is hv bn tryng cstmr care for arnd an hr no one rspnds
COMPLAINT,-844445729,faulty trnsctng frm my sbi atm card at icici atm machine cstmr care nt rspndng
COMPLAINT,1921448677,machine didnt displayed that screen on which we enter the amount to be withdrawl what was that [ ]
COMPLAINT,-1449986230,bangalore koramangala branch is very worst to attend to customers 
COMPLAINT,-1258192890,asking me to speak icicipruamc i have mailed full query to them but no answer even after hours
COMPLAINT,-1449986230,icici branch doesn t have money
COMPLAINT,-1859840027,nagpur is this the day closing time there is no cash in the atm too
COMPLAINT,767841304,applied for closure of demat accounts on sept emails to customer care of no use why does one has to tweet to get attn
COMPLAINT,-1130748770,still no response from your bank
COMPLAINT,-807935946,your team calls me for a card upgrade of a blocked card wonder if u have crs systems in place 
COMPLAINT,-844445729,is this how u make money with your malfunctioning atm on what grounds is extra rs being charged lqkr x
COMPLAINT,79030838,i have sr and this been pending with your lazy staff for a month can someone wake up to attend to this
COMPLAINT,-232787078,i think you guys forgot the concern your customer had and enjoying your life
COMPLAINT,-232787078,what a shitty customer suppo you have they cant pronounce a simple name they just won t listen just blabber 
COMPLAINT,364255888,only one call that we will see the matter no action till date what to do with account without signature or pic in records
COMPLAINT,-807935946,i shared number yesterday got your confirmation today early morning however no one reached out to restore the card yet 
COMPLAINT,-595210192,not getting otp
COMPLAINT,1988647585,i m shocked u don t even bother to reply
COMPLAINT,-1488702773,i am now not able to call your custom suppo also this is matter or urgency
COMPLAINT,767841304,you surely don t care
COMPLAINT,-844445729,it s happned in your noida branch and when my person say clear it today then nobody can give us positive response 
COMPLAINT,979191103,hi concern person i had a transaction issue with you bank from th in oct and still not get closure from your team now
COMPLAINT,-844445729,i am in singapore i hv sing nbr registered with and i cudn t create vpa
COMPLAINT,-1691134240,even after i called him once more please note that i never asked him to call me back but it was he told that he will 
COMPLAINT,-2084750985,unfortunately the bad service at icic direct continues after my complaint with you i got several calls promising of 
COMPLAINT,767841304,there is an issue with my credit card statement the branch said they can t help cust care exec put me on hold for mins
COMPLAINT,-232787078,just received a call disgusting not customer friendly wanted me to receive the cheque books km away will stop acc
COMPLAINT,-955764031,just got a phishing call for my icici bank credit card from number talking about refund of k due to me
COMPLAINT,-844445729,trying to call your ccnumber since yesterday it is impossible to talktoyour cc officer my email id mehrashish com
COMPLAINT,-807935946,got my atm card after extra days 
COMPLAINT,1597354194,block chain or blocked operations feeling disappointed not getting last disbursement 
COMPLAINT,510235544,please don t commit if u can perform days passed since i dm my details u no one called shame
COMPLAINT,-687159157,still waiting worstcustomerservice epicfail banicicibank banking ombudsman 
COMPLAINT,996251912,icici bank porbandar refused open ssa unless i open saving ac for gl child
COMPLAINT,1999342139,link not working
COMPLAINT,-844445729,i had a issue with wrong imps transfer i decided quit icici miss sita made me to feel great made me to stay back thank u
COMPLAINT,-232787078,can t makeiteasy badexperience likegovernment badolddays diaconnected from customer
COMPLAINT,364255888,i made a payment for purchasing ticket on website the payment is deducted from my account but is not received n
COMPLAINT,-807935946,dear i haven t applied for credit card still m receiving mails frm you asking me to verify my application which i never done
COMPLAINT,1116313165,still waiting 
COMPLAINT,-2096677900,it shows ur negligence the same dialogue earlier also but no call playing with people money
COMPLAINT,364255888,no account opening in icici without subsription of apy application id 
COMPLAINT,-232787078,atm security is bank responsibility how can any bank get away and blame customer for atm fraud for their hard earn money
COMPLAINT,-232787078,i urge ms chanda kochar to intervene icici official are not customer frandly
COMPLAINT,-807935946,another stupid mail no solution provided still credit card due amount is aprearing on bill payment qdvhgkqv
COMPLAINT,-283338428,if you don t do anything about it in hours im shifting to 
COMPLAINT,767841304,fraudulent activity on my account you guys don t even care to reply to the email
COMPLAINT,-807935946,just got a call frm ur telemarketer i told her i don t hav credit card n indeed i just hav debit card she called me liar
COMPLAINT,-807935946,i received credit card not active which was valid from f in feb you charged me to avoid cibil faulter repay me
COMPLAINT,817244529,why your offcials are always out of their mind and dont rread the mail carefully i feel like completelly pissed off 
COMPLAINT,-807935946,in aug i booked bus ticket through using debit card as said i am supposed to get rs still i have not 
COMPLAINT,-2122388590,appno onemonth goneby n partial pickup of document has been done no wonder u r loosin mindshare n marketshare
COMPLAINT,291074912,each time i try to log in i have problems now my account number is not recognised and the only phone numbers are in india 
COMPLAINT,-807935946,not getting the grid card while adding money to the wallet via netbanking un 
COMPLAINT,817244529,several reasons incapable ppl mistreat u misbehave never solve problem dont understand basucs u r penalized
COMPLAINT,-684165454,fake cleanliness campaign this bank enjoy harassing customers
COMPLAINT,16896432,do whatever u want i just don t need any more calls i need execution of the commitment i am not repeating again again 
COMPLAINT,817244529,worst bank enjoy harassing u have made simple situatuion a hell why dont u guys close down
COMPLAINT,-684165454,worst bank who enjoy harassing u
COMPLAINT,-1937482226,no action yet on my cashback issue of icicipockets
