Expected Category, Predicted Category,Content
COMPLAINT,COMPLAINT,why cant hdfc build a website that works  the login button dosent even show up due to the heavy graphics used all over the site  its such a basic thing and you cant get it right
COMPLAINT,COMPLAINT,i m suffering from last  month still no any solution my customers id  manager and staff very rude with customer totally customer sucker bank want to know more call me 
COMPLAINT,COMPLAINT,dear hdfc bank i am banking with hdfc since  and i never had any problem with also i have been a prefered customer to the bank this is the first time i really disappointed with what i experienced with the customer service people one day in feb or mar a statement delivered at my home address and i was shocked to see that there were approx rs  charges levied on my card account i immediately contacted customer service to know about the whole picture and then they informed me that there is a transaction done by my addon credit card in  of approx rs  at petrol pump i have not intimated by bank through any source (sms statement etc) for making the payment also they suggested me to pay  rs only and rest of the amount will be reversed after ccr (customer care representative) committed to reverse the charges i have made the payment of rs  but after paying that amount no charges are reversed today (after  months from feb ) i got a call from hdfc banks collection executive veena (from number  ) told me that card is blocked and in writeoff stage and i have to make the payment of approx rs  or else my track will be corrupted in cibil please help me
COMPLAINT,COMPLAINT,you guys ate away my reward points this id cheating
COMPLAINT,COMPLAINT,i have lost my debit card and because i have lost my debit card i cannot do online payments as well extremely useless security feature i am a alone girl stranded without money  cant transfer money or pay anyone online till new debit card comes what is the point of internet banking if i have to use debit card basically i will have to eg for money from others because i cannot access internet banking without debit card wow 
COMPLAINT,COMPLAINT,eft cheque application is not useful for customers how does it benefit when i have still walk into branch to submit the cheque it does benefit bank as you do not have to enter data manually what a waste of your it resources
COMPLAINT,COMPLAINT,i have been a customer of icici bank for last  yrs now in the past one year i have realized it is the most pathetic bank around definitely even worse than the public sector banks due to its policy and laziness and complacency of its employees the delhi vasant vihar branch leads in its defiant and disrespectful attitude towards its customers deputy branch manager nitin mehrotra aman shukla and a host of others its time the bank pulled up its employees or it will lose its customers a simple export documents submission has not been processed since its submission on february  if the bank cannot even do this small job because of which unethical charges are being deducted from our bank account every quarter then the bank should sack its staff and shut down its branch the horrible vasant kunj branch delhi is not any good either i have completely lost my trust in this bank  you may contact me at +
COMPLAINT,COMPLAINT,dear mr atmagreetings from icici bank we inform you that the request initiated for the cancellation of credit card account with service request number sr has not been processed as there is outstanding of rs  in your credit card account
COMPLAINT,REQUEST,i called to know my account balance frm my numberreply msg is followed no accounts fetched failurepls rectify
COMPLAINT,COMPLAINT,icici bank work on google not on banking guidelines bank staff email us we verify facts on google then do banking ridiculous mayur vihar delhi staff dont know how to do banking
COMPLAINT,COMPLAINT,hi i am struggling to get any response to my complaint sr it has been more than  months i am chasing icici to get my money back that got remitted to a wrong account please let me know if you can help and ill share the details i even escalated this online to mr krishnan govindan but no response yet
COMPLAINT,COMPLAINT,i have faced the worst customer treatment from icici worse than psu banks
COMPLAINT,COMPLAINT,worst chat service ever  you guys promote using icici mobile app and there is chat option right there which is as worst as one cant expect first of all i complaint them for not getting credit card statement on my physical address then secondly i requested them to mail me my last  months credit card statement they said it will take around  hours at max to receive it ok thats fine then i ask them to give me the request number too in case i dont receive it so i should have something to track on but the person dont have request numberas he convinced me sir you will get it soon but nothing on my mail even after  hours now i am forced to call customer care and what they replied me sir your email id is not even updated in your credit card what the f**k i am thinking of closing my icici account as well as cancel my credit card now i am forced to move on to other bank
COMPLAINT,COMPLAINT,a bank who doesnt have email address to contact complaint i have applied for a personal loan and they passed loan but also detuct k amount against insurance which is separately available in  only i dont want it but dont know where to contact 
COMPLAINT,COMPLAINT,hello icici support department i am diveshkumar keshavlal patel and i am hoilding salary account from  and this was my salary account in my old company and i left the job from  so my last salary of month of april deposited in this account now today i went for closing of this account at my nearest branch i was talked with customer service desk no  from maninagar branch that if i want to close this account now it will be service charge of rs  + service tax because it is one year not completed for this account so i can close this account only after month of august   right   one more thing i asked her that should i need to maintain rs  minimum balance as per terms and condition of saving account  she told me no need to maintain this amount if i dont want to transact with this bank and today i take out all money of rs  from my account and from today i will not any transact from this account so i need to know from you that i am understanding okay   na   and from next month i no need to maintain rs  right and for that no money will be charge me for the closing time of this account on a after august right   pls let me know as soon as possible and reply me soon that i am understanding this bank policy is okay and what i talked with bank representative was correct na   my account no is   and account name  diveshkumar keshavlal patel pls solve my query and waiting for satisfied answer thanks
COMPLAINT,COMPLAINT,icici bank  i have a account in your bank i made one demand draft of amount  rs and submitted it to my company now they are saying that the dd is bounce i am not able to contact your branch which is the thane belapur branch you customer care is hard to reach now can you tell me how could be possible that dd can get bounce please update me asapdd number  
COMPLAINT,COMPLAINT,we are trying to open a corporate account in your bank with no success  we sign  pages and your team is not able to give us an account number we start one month ago      do you have a person in your bank who got a real authority in order to understand the situation  
COMPLAINT,COMPLAINT,dud when it comes to customer service i dread going inside the ggn cyber branch metro stn every time i go the holier than thou lady staffs would cleverly coax me to get a c card a mutual fund a loan et al n every time i come out with a bad taste i would cancel my account now
COMPLAINT,COMPLAINT,dont inbox they wont do anything this is their takiya kalaam response to one and all find the email id of their ceo and email him only then smtg can happen not a bank for common man for sure
COMPLAINT,COMPLAINT,they cater to the upper middle class only the cards they try to thrust on you have a yearly charge of rs  obnoxious preposterous
COMPLAINT,COMPLAINT,i had booked a tax saver deposit with indusind vasant kunj branch new delhi on st march  till date waiting for the tax saver pass book as whenever i enquired at the branch always get blank replies that we dont know from where you will get the pass book really pathetic services
COMPLAINT,COMPLAINT,pathetic services if i compare them to amex in credit card service deliveryindusind should shut down the credit card division and its call centre they will deliver value to share holdersresponse time and call backs are pathetic 
COMPLAINT,COMPLAINT,recent misappropriation of funds of around  lakhs has happened of my elder sister by a bank employee of indusind bank guwahati  have visited state head here area manager branch manager it is a tragedy to see the pathetic response till date last year too similar swindling had happened with nri client was all over media we are hni client of your bank show some urgency in responding
COMPLAINT,COMPLAINT,this bank is a scam they are using my company phone number for customer service i get  calls a day from customers asking to change pin numbers i wish i was a crook because i would be having a field day    
COMPLAINT,COMPLAINT,application reference noapplication status not approvedthis is totally unfair i got  verification calls from your side how can it be declined   dear sir i was waiting for credit card from last  months i have very important work with credit card and im looking for positive feedback and solution from your side
COMPLAINT,COMPLAINT,how can you change my registered email address without knowing me  what is status of my application retreival   i did not hear anything from last three days   if i will use otp option  what will happen  kindly pay your attention here
COMPLAINT,COMPLAINT,then i will pay complete billed and unbilled amount very soon and i will deactivateblock this card for future transactions i will go for hdfcicici since they are providing me limit of  times of my monthly salary waiting for a positive response
COMPLAINT,COMPLAINT,i someone has made a transaction in new york at us polo assn of rs using my credit card on  around  am and even no otp is received although the card is with me only and i never gone there i had already files a complaint regarding this with kotak my service request no is  sr how it is possible please look into the matter and initiate my refund
COMPLAINT,COMPLAINT,hello team could you let me know what is chrg declba debit charges rs levied the issue my with the atm kisok not allowing me to withdraw more than the limit either due to atm error or no balance in the atm then why do customer pays the penalty request you to kindly reverse the charges asap you can check the accounti have withdrawn only when sufficient balance was available in the account
COMPLAINT,COMPLAINT,helloi am getting continuous call from one unknown lady of your departmentphone number  ten times &  two times she wascontinuously asking phone number of some person whose surname match tomy surname she was contacted to my office where i am working & alsotold me to she will contact to my wifes office tooshe was disturbing me without any reason of your bank i had all callrecords in my cell phone for the conversionshe was openly challenge me to go to police station so it is betteroption for me i will do the same with all communication
COMPLAINT,COMPLAINT,boiis shityour net banking sucks  it is so much pathetic that it does not even take the log in details   i wonder who developed your such pathetic system 
COMPLAINT,COMPLAINT,pathethic services i am trying to do an imps transfer from past two days and cannot proceed further because of defaults
COMPLAINT,COMPLAINT,never trust on axis bank they are not understanding customers problem and such ridiculous employees they are having  most important things your personal data is not secure with axis bank so if possible discontinued with axis bank 
COMPLAINT,COMPLAINT,worst bank among all other banki have taken car loan where they given me document isigned after they fill all the labiality on their benefited onlywhen i called customer care she say me any proof of your talki am shocked it is bank
COMPLAINT,COMPLAINT,axis bankpathetic customer experience in the age where it takes hours to open an account i have been chasing you guys for almost  months now for a simple account opening add to this no one in the entire chain have any clue on the application status the branch is unapproachable and call center is just lingering things ; at the same time a significant amount of money has been credited from my account to be transferred to my new axis account  weeks back and i have been moving around to understand where it is lying ; highly dissatisfied with the services even my request for withdrawl of application is not being heeded to  moving consumer court as a next step  (ref complaint  )
COMPLAINT,COMPLAINT,edge reward is a gimmick i cannot redeem my reward because there is no record with them but how come i am receiving update points axis bank is not doing their homework
COMPLAINT,COMPLAINT,worst bank when it comes to nri customers regretting my decision to have gone with them and doing business with another bank which is better than axis
COMPLAINT,COMPLAINT,very worst bank bcoz lots more fake offers give book my show vouchers given after  days u deposit in u r account  & u login internet banking  edge reward points this kind of lots fake offers
COMPLAINT,COMPLAINT,hello bank i`m with your bank since  trying to create fd online but its sayingrequest couldn`t be initiated please contact bank administrator its more than  month i`m struggling with your customer care and branch  customer care tells to send email to there id when i send email there is a response saying your email id is not registered i tried all measures what ever mentioned with the email but nothing is happening will you reply how to get rid of this nuisance
COMPLAINT,COMPLAINT,n th january  my father md irshad alam went to axis bank atm raja bazar to withdraw rs from his salary savings account he withdrew rs and came out from the atm he got a message on his registered mobile number that an amount of rs  has been debited from your account at  he received another message at  that an amount of rs has been debited from your account however he did not perform any transaction we have reported this incident to the axis bank kankurgachi branch garia branch and amherst street police station but they are not at all taking any effective steps against this issue and simply wasting our time by telling that police will take care of these things this incident is happening on a regular basis at axis bank keshab chandra street raja bazar atm
REQUEST,COMPLAINT,can i get hdfc toll free no
REQUEST,REQUEST,car lone are available or not  
REQUEST,COMPLAINT,hello axis bank i emailed already asking about insta easy card i cannot visit to open a fix deposit on the demostic account to have the credit card so my question is can i make fix deposit online with my account and request online for insta easy credit card after that  please answer me here instead of giving me email ids to contact thanks
SUGGESTION,COMPLAINT,no need to speak any other officer you do approach directly mr puri director of hdfc bankgovindiyer@hdfcbankcom write the mai to mr puri secratory for speak with directo
SUGGESTION,COMPLAINT,ello your bank application is tool old please upgrade to the latest feauture like other banks have such asaxis bankand icici have
SUGGESTION,REQUEST,you are the worst bankwhen someone applies for loanu look for cibil score and reject his application even though he is a salaried professionalbut the same person when deposits some lakhs in your bankyou idiots smile and accept it with both handsif u r looking for cibil score while applying loan then also look for the same while getting deposit from the same persongetting loan cibil score is taken into consideration and u are coming to a decision that he is not capable even though he is salaried professional but for getting deposit from same person nothing is taken into consideration and u are welcoming him with smiled facewhat kind of rule is thatif u r rejecting a customer saying that he is not capable of paying his loan backdont get deposits from himreject him for once and allloan rejecteddeposit acceptedworst system
SUGGESTION,COMPLAINT,axis bank innovated new ideas thats good for progress on thoughts like but the our loan process is very slow and bored so please improve our loan process for new customersaxis bank
REQUEST,COMPLAINT,how to get swift bic code for icici bank  
REQUEST,REQUEST,hi whay if someone send me money through your bank where can i claim it im from philippines hoping for your fast reply thank
REQUEST,COMPLAINT,people here at icici green park branch do not even know what is invest@ease form and how should it be processed i as an investor came myself to icici bank with trust as i have been operating my salary account as well as wealth mgmt accnt from koregaon park pune but the service here at green park delhi branch is pathetic i have submitted my invest@ease form from the last  weeks but they havent processed it they do not know what to do with it whereas there is always shortage of manpower and the limited people here are not willing to work
REQUEST,COMPLAINT,who can i create a account in your bank my pin number 
COMPLIMENT,COMPLIMENT,thank you my best bank
COMPLIMENT,COMPLIMENT,he milestone
COMPLAINT,COMPLAINT,before we explore new web site please have the basics rectified ie indicate tds in monthly bank statement to avoid malpractice being adopted by yes bank staff in back end office
COMPLAINT,COMPLAINT,my registered mobile number changed without my authorization my otp has been shared with anonymous person this is highly insecure as well as a security threat i tried couple of times with axis bank they give a standard reply ie we have done some changes go to atm and update your mobile nocan i file a case in consumer court can anyone help me    
COMPLAINT,COMPLAINT,bank has so many hidden charges i hate this bank going to close my account in it
COMPLAINT,COMPLAINT,axis bank services are very poor and not reliable for business relationship i am fed of your range of services this is worst service of axis bank i have ever faced it lots of other govt bank are more flexible reliable these guys are failed to delivered the welcome kit after  days if you give him a chance for business relationship then your business will go towards downwards
COMPLAINT,COMPLAINT,on june th  i received a call from axis bank (+) offering a loan against my credit card since i am already availing a loan from axis bank therefore i informed it to the calling axis bank representative asking am i still eligible to get a loan  to which the representative replied yes you are eligible for a loan of rs  on confirming my request for the same amount the representative told that the loan has been approved and it will be credited in my axis bank salary account within  days on june   i again called axis bank helpline () asking about the loan status at  hours to which the attending axis bank representative confirmed me that my loan has been approved and it will be credited in my salary account within  working daystoday it is july th  and the amount has not yet been credited so i queried the axis bank help line () at  hours asking about the loans status to which the axis bank person named ajay told that it has been approved on consistently asking why the amount is being delayed he made me wait for a long time and then informed as you are already availing a loan on your credit card so the approved loan has been cancelled this is totally ridiculus and unprofessional approach of axis bank and i am taking it as an insult and harresment
COMPLAINT,COMPLAINT,axis bank customer support worst i have experienced i have been told to wait i am waiting since feb till now just to get my money very pathetic service customer support
COMPLAINT,COMPLAINT,i was open salary saving account in axis bank but axis bank open a dmat account with my account without my permission and also deduct rs  from my account so what is your service axis bank cheater and not respond any query
COMPLAINT,COMPLAINT,when i write a complain on axis bank site complaints and grievance redressal but after written a ful complain captcha is not working i enter a capital latter but it automatically convert in small letter so that they want anyone can not post any complain
COMPLAINT,COMPLAINT,funny    i submitted documents in your kozhikode branch for opening a savings account  it has been  months i dont have ac 
COMPLAINT,COMPLAINT,processing is too late especially net banking is too slow
COMPLAINT,COMPLAINT,your mobile app is down or what im not able to login since yesterday
COMPLAINT,COMPLAINT,   this is a useless number i have been calling for two days now and continuously receiving a busy tone  how do you talk to a customer service agent 
COMPLAINT,COMPLAINT,you should live the hell ive endured when their system was down for a week last year ( ) i was a victim of fraud tried verifying informationot and was given wrong information which led to more fraud all after sitting on hold repeatedly for long periods 
REQUEST,COMPLAINT,mobile banking is not easier than before when i cant update to the new version (my iphone  cant run ios ) the version i have worked just fine until the forced update came out
REQUEST,COMPLAINT,well no luck with contacting your bank via email they dont handle statement changes and i have to call in not sure when i will have time to do that
COMPLIMENT,COMPLIMENT,really amazing
REQUEST,COMPLAINT,is it possible to change the mail and email address through the aaps cant find it
COMPLIMENT,COMPLIMENT,love this card ita been working out great
REQUEST,COMPLAINT,i dont find the app in fb i used to communicate with you i need you to call me because im not in the us and i cant make international calls
COMPLIMENT,REQUEST,the new bank of america mobile app is greatthank you for the improvements it is easy to navigate and meets my on line banking needs
COMPLAINT,COMPLAINT,dont get it i tried twice to get a purchase approved by phone on my visa and was cut off twice as they were transferring me to the approval department then i received a survey asking about my experience and it didnt work i wonder if this will get through 
SUGGESTION,COMPLAINT,i suggest each bank of america could have one email for customers to contact from  am to  to   
COMPLIMENT,REQUEST,the upgraded mobile app is awesome
REQUEST,COMPLAINT,i need to send a message to b of a before morning and see no way on the site or on facebook do you have email or message capability  i went to my message center and there is no way to send a message thank you
REQUEST,COMPLAINT,i need help on my debit i cancel my transaction but it did not refund my money thanks
REQUEST,REQUEST,if i have an account i no longer want can i transfer it to someone else 
COMPLAINT,COMPLAINT,hi i live abroad and cant get a straight answer from anyone at bank of america i dont have the luxury of being able to stop by a branch can you please help me  what are the procedures to follow for an early ira withdrawal  (im not not  and im aware of the % penalty fee + taxes) an answer would be appreciated thanks
REQUEST,REQUEST,please check the dm i sent need to have something resolved today if you are closed tomorrow thanks
COMPLIMENT,COMPLAINT,best bank i have ever had   they treat you like a person and not a customer 
COMPLIMENT,COMPLIMENT,i am a proud wells fargo customer thank you so much for supporting my community 
SUGGESTION,REQUEST,can you make your aadvantage line of credit cards available on samsung pay 
COMPLIMENT,MISCELLANEOUS,boa  the bank of happiness and the smart and connected generation 
COMPLIMENT,COMPLIMENT,your specialists are awesome      
COMPLAINT,COMPLAINT,plz look into the matter it s already day passpasses no response till now eom
COMPLAINT,REQUEST,please how much do you charge for verve card re issue i think you might have overcharged me
COMPLAINT,COMPLAINT,then it is illegal
COMPLAINT,COMPLAINT,the information displayed we are unable to deduct money from your card sorry for the inconvenience 
COMPLAINT,COMPLAINT,day na story o no reversal yet 
COMPLAINT,COMPLAINT,in this challenging times reversal of failed pos transaction shud nt take days 
COMPLAINT,COMPLAINT,please i m trying to do a transaction online using my card but when i fill in my card details it says unable to deduct
COMPLAINT,COMPLAINT,sms banking is nt going why 
COMPLAINT,REQUEST,my numbers are available and moreso i m always having the issue when i use accessbank app
COMPLAINT,COMPLAINT,please reply all my messages 
COMPLAINT,REQUEST,na wah for ur customer care u guys are too slow a simple follow back since morning i nid to dm u and forward my complaint
COMPLAINT,COMPLAINT,i do not want to believe that you are deliberately ignoring my messages 
COMPLAINT,COMPLAINT,on oct by pm i sent n was sent to yakubu dagauda money not yet pahojqi
COMPLAINT,REQUEST,hello i observed that has been replying in your stead yet is not verified clarifica nq
COMPLAINT,COMPLAINT,cries in poverty look at my mate and you can t give me my common $ let me per day lzcrgao
COMPLAINT,COMPLAINT,i haven t received card yet no one sharing pod what kind of service is this 
COMPLAINT,COMPLAINT,i haven t received card yet no one sharing pod i dm u details
COMPLAINT,COMPLAINT,axismobileapp not working properly very slow working it s taking too long time for open details
COMPLAINT,COMPLAINT,they took months provided me only name card instead of image card i have forwarded so many photos they cheated me <u ><u fe f><u fe f>
COMPLAINT,COMPLAINT,just wondering you expect me to call to check on the status and i am suffering loosing time and patience on this
COMPLAINT,COMPLAINT,m travelling from tomo now tell me how u ll provide me with card nw i hav visited branch n given clarification on matter
COMPLAINT,COMPLAINT,now link rd kandivali w branch they have not received anything yet i submitted crf form on th was sent on th 
COMPLAINT,COMPLAINT,i am not receiving card statements didn t you understand the issue
COMPLAINT,COMPLAINT,promised to disperse the loan in day but it tuk days is it fare time is very imp when any apply for loan
COMPLAINT,COMPLAINT,nobody bothered to give an official reference number this shows the seriousness of your system that too on cases of fraud
COMPLAINT,COMPLAINT,not receiving credit card statements for months complained many times but no action 
COMPLAINT,COMPLAINT,not received any reference number but ya ur customer care has history of my conversation with dem
COMPLAINT,COMPLAINT,making fool from months debited money from savings account without informing and without reason and no accountability
COMPLAINT,COMPLAINT,worst ever customer service from icici bank nampally hyderabad branch 
COMPLAINT,COMPLAINT,still cheque is not cleared slowbank 
COMPLAINT,COMPLAINT,so you don t even care to respond to tweets as well eh nice way of providing suppo
COMPLAINT,COMPLAINT,shared my contact number on dm but haven t received any call
COMPLAINT,COMPLAINT,what is going on in reputated banks like icici how can we trust how they are neglecting
COMPLAINT,COMPLAINT,it s wealth account frm last weeks no communication don t know wat is going on with such reputed bnk
COMPLAINT,COMPLAINT,funding a township which is not approved by lda is also apa of this fraud 
COMPLAINT,COMPLAINT,u ppl are ridiculous can t even reply to one tweet while u keep calling and irritating for credit card 
COMPLAINT,COMPLAINT,funding a township which is not approved by lda is also apa of this fraud app
COMPLAINT,REQUEST,we have had a very embarrassing episode of an international transaction i d like to dm you the details 
COMPLAINT,COMPLAINT,read about step verification is mandatory by rbi only not for the foreign payment processors 
COMPLAINT,COMPLAINT,icici bank doesn t cares had given complete documents to open current account but chd sec branch is not responding 
COMPLAINT,COMPLAINT,that s nt d point card was blocked for no reason saying dr case of fraud while serving no purpose what sorcery is this
COMPLAINT,COMPLAINT,thy r least interested in problems facing by their customer in daytoday life poorcustomerservi
COMPLAINT,COMPLAINT,withdrw amt f rs frm atm canarabank durgapura jaipur got only frm atm 
COMPLAINT,COMPLAINT,the customer care executive said that it will be done within working days its been more than a week
COMPLAINT,COMPLAINT,is giving me a tough time how the hell do i change the registered mobile number on my credit card
COMPLAINT,COMPLAINT,welcome to if you want your own home loan ac stmt pls visit branch worst banking experience ever 
COMPLAINT,COMPLAINT,nd i have received msg that refund amt is credited in my account than why r u adding that emi amount in statement
COMPLAINT,COMPLAINT,there is no reply already business hours gone ceo n employee all are shameless 
COMPLAINT,COMPLAINT,close this dead atm poor service from past months no ac no money no lrrsdxih
COMPLAINT,COMPLAINT,shut this official page then if you guys cannot repond to cuatomers compalint
COMPLAINT,COMPLAINT,amazing service by icici mnnexz never let that happen 
COMPLAINT,COMPLAINT,and the phone lines are always busy what the hell is going on
COMPLAINT,COMPLAINT,still no improvement same story one of both atm machines down most of the time 
COMPLAINT,COMPLAINT,my experience is getting horrible now it your courier partner xpreesbees i don t know why they taking this much time
COMPLAINT,COMPLAINT,still no update on my issue 
COMPLAINT,COMPLAINT,grammar is still your best friend though 
COMPLAINT,COMPLAINT,your net banking isn t secure ur system says transaction failed but you still go and transfer the money tired of followups
COMPLAINT,COMPLAINT,u want me to pay rs for the debit card so first you screw the customer and then ask them to pay to get back to normal
COMPLAINT,COMPLAINT,why there s no kannada language in ur challan saw this today in bhattarahal
COMPLAINT,COMPLAINT,why there s no kannada language in ur challan saw this today in bhattarahal
COMPLAINT,COMPLAINT,do you guys reply on dm or email it s really not acceptable plzz arrange the call back asap 
COMPLAINT,COMPLAINT,credit card executives lured me with false offers then backed off unprofessional frustrated 
COMPLAINT,COMPLAINT,bhowanipore branch has employees working but can t hand over debit card delivered to branch mins after working hours
COMPLAINT,COMPLAINT,no update till now p jd y
COMPLAINT,COMPLAINT,still issue is not resolved no one is responding 
COMPLAINT,COMPLAINT,shared the details yesterday no response yet anytime soon 
COMPLAINT,COMPLAINT,got a fake call from the lady asking about the credit card details
COMPLAINT,COMPLAINT,i hv closed my mother s acc deceased day i get a call from custcare for atm card security isn t that being insensitive
COMPLAINT,REQUEST,hi i have a concern have sent details via dm 
COMPLAINT,COMPLAINT,the site mentioned in the message is giving error
COMPLAINT,COMPLAINT,no ac from last yrs days in week no money out of service people using hdfc 
COMPLAINT,COMPLAINT,never experienced service slower than this worst experience still no resolution 
COMPLAINT,COMPLAINT,you guys blocked my debit card again after having calls internationally again
COMPLAINT,COMPLAINT,i do not trust you guys right now unblocked my card after calls internationally now blocked again how do i survive 
COMPLAINT,COMPLAINT,fraud transaction of k has been done from my account still ur investigation team has done nothing is it safebanking 
COMPLAINT,COMPLAINT,new way to rip their customers provide only other bank transactions don t maintain any of their atms
COMPLAINT,COMPLAINT,where is your official who was suppose to call if you guys are not interested plz de activate my credit card
COMPLAINT,COMPLAINT,it is mental trauma to lose me hard earned money like that shame on icici securities
COMPLAINT,COMPLAINT,lost rs on oct from my icici savings in unauthorised cash withdrawal pl act fast sr
COMPLAINT,COMPLAINT,u shared my acc statement with mr d gupta jsl anyone denying is bastard
COMPLAINT,REQUEST,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers 
COMPLAINT,COMPLAINT,it got reve happy to bank wit u just increase our atm limt transaction after it cost us its sucks
COMPLAINT,COMPLAINT,struggling for getting fastag from last month ur executive never came wrost service icicibank
COMPLAINT,COMPLAINT,very insane from u people for cash transactions u charged me four thousand rupess why 
COMPLAINT,COMPLAINT,bangalore koramangala branch is very worst to attend to customers 
COMPLAINT,COMPLAINT,sending u details on dm but days tat is terrible for demat account closure a psu entity did that for me in days flat
COMPLAINT,COMPLAINT,applied for closure of demat accounts on sept emails to customer care of no use why does one has to tweet to get attn
COMPLAINT,COMPLAINT,was charged service fees months back tried to contact the bank dy say my no is nt registered no is registered 
COMPLAINT,COMPLAINT,would you care to reply or pretend caring and ignore like your customer care does
COMPLAINT,COMPLAINT,if my no is nt regd hw cm ur team calls on same no for card upgrades and when i tell them abt d problem d 
COMPLAINT,COMPLAINT,yea have done this multiple times same insane form process which takes days seriously days what happened to service
COMPLAINT,COMPLAINT,why gets charged on overlimit rather transaction failed very poor customer experience perhaps time to move to sbi
COMPLAINT,COMPLAINT,having a bad experience in opening a current account with icici plan to move away my firms account
COMPLAINT,COMPLAINT,got fraud call from this number the person told me that calling from icici regarding reward point
COMPLAINT,COMPLAINT,facing severe issues wth my bank ac of yrs no resolution gvn inspite of numerous follow ups
COMPLAINT,COMPLAINT,you have sent me the dm link nd asked for contact details but no return respond 
COMPLAINT,COMPLAINT,didn t heard back anything from your team 
COMPLAINT,COMPLAINT,your executive did not even lodge my complaint blocked my card after all money was taken and offered me new card
COMPLAINT,COMPLAINT,credit card executives lured me with false offers then backed off unprofessional frustrated 
COMPLAINT,COMPLAINT,i m shocked u don t even bother to reply
COMPLAINT,COMPLAINT,i have sent you dm and fyi your bank is saying that they will need days to process this request of fraud transaction 
COMPLAINT,COMPLAINT,trying for more than hours to get in touch with credit card team no response poorservice
COMPLAINT,COMPLAINT,there is no process to address a current account customer lucknowmainbrach nocustomercare
COMPLAINT,COMPLAINT,really pathetic suppo my running atm got blocked new old now they are asking for rs for getting it activated
COMPLAINT,COMPLAINT,even after i called him once more please note that i never asked him to call me back but it was he told that he will 
COMPLAINT,COMPLAINT,you guys last called me on st october saying someone from bank accounts team will call me days later nothing
COMPLAINT,COMPLAINT,dear you have the worst customer care also the staff at your branch is not helpful
COMPLAINT,COMPLAINT,very disappointed with ur credit card and customer care service worst service have ever seen from any bank
COMPLAINT,COMPLAINT,for gave no called up person said its wrong no such utter mismanagement check your dm for details 
COMPLAINT,COMPLAINT,just got a phishing call for my icici bank credit card from number talking about refund of k due to me
